Component,Publication Grant Number,Publication Consortium Name,Publication Theme Name,Publication Doi,Publication Journal,Pubmed Id,Pubmed Url,Publication Title,Publication Year,Publication Keywords,Publication Authors,Publication Abstract,Publication Assay,Publication Tumor Type,Publication Tissue,Publication Dataset Alias,Publication Accessibility,
PublicationView,CA227544,CSBC,"Drug Resistance/Sensitivity, Heterogeneity",10.1002/bies.202300188,Bioessays,38247191,https://pubmed.ncbi.nlm.nih.gov/38247191,Design patterns of biological cells,2024,"Metabolism, systems biology, Cell signaling, Cell Biology Modeling","Steven S Andrews, H Steven Wiley, Herbert M Sauro","Design patterns are generalized solutions to frequently recurring problems. They were initially developed by architects and computer scientists to create a higher level of abstraction for their designs. Here, we extend these concepts to cell biology to lend a new perspective on the evolved designs of cells' underlying reaction networks. We present a catalog of 21 design patterns divided into three categories: creational patterns describe processes that build the cell, structural patterns describe the layouts of reaction networks, and behavioral patterns describe reaction network function. Applying this pattern language to the E. coli central metabolic reaction network, the yeast pheromone response signaling network, and other examples lends new insights into these systems.",Modeling,Pan-cancer,Not Applicable,Not Applicable,Open Access,
PublicationView,"CA232382, CA217376",CSBC,"Heterogeneity, Drug Resistance/Sensitivity, Epigenetics, Tumor-Immune, Evolution, Microenvironment",10.3390/cancers16020257,Cancers (Basel),38254748,https://pubmed.ncbi.nlm.nih.gov/38254748,Testing Adaptive Therapy Protocols Using Gemcitabine and Capecitabine in a Preclinical Model of Endocrine-Resistant Breast Cancer,2024,"High-dose Therapy, Adaptive Therapy, Drug-resistant And Drug-sensitive Subclones, Endocrine-resistant Mcf7 Breast Cancer","Sareh Seyedi, Ruthanne Teo, Luke Foster, Daniel Saha, Lida Mina, Donald Northfelt, Karen S Anderson, Darryl Shibata, Robert Gatenby, Luis H Cisneros, Brigid Troan, Alexander R A Anderson, Carlo C Maley","Adaptive therapy, an ecologically inspired approach to cancer treatment, aims to overcome resistance and reduce toxicity by leveraging competitive interactions between drug-sensitive and drug-resistant subclones, prioritizing patient survival and quality of life instead of killing the maximum number of cancer cells. In preparation for a clinical trial, we used endocrine-resistant MCF7 breast cancer to stimulate second-line therapy and tested adaptive therapy using capecitabine, gemcitabine, or their combination in a mouse xenograft model. Dose modulation adaptive therapy with capecitabine alone increased survival time relative to MTD but not statistically significantly (HR = 0.22, 95% CI = 0.043-1.1, <i>p</i> = 0.065). However, when we alternated the drugs in both dose modulation (HR = 0.11, 95% CI = 0.024-0.55, <i>p</i> = 0.007) and intermittent adaptive therapies, the survival time was significantly increased compared to high-dose combination therapy (HR = 0.07, 95% CI = 0.013-0.42, <i>p</i> = 0.003). Overall, the survival time increased with reduced dose for both single drugs (<i>p</i> < 0.01) and combined drugs (<i>p</i> < 0.001), resulting in tumors with fewer proliferation cells (<i>p</i> = 0.0026) and more apoptotic cells (<i>p</i> = 0.045) compared to high-dose therapy. Adaptive therapy favors slower-growing tumors and shows promise in two-drug alternating regimens instead of being combined.",Computational Modeling,Breast Neoplasm       ,Breast,Not Applicable,Open Access,
PublicationView,CA232137,CSBC,"Microenvironment, Metabolism, Heterogeneity",10.1186/s12859-024-05655-3,BMC Bioinformatics,38287239,https://pubmed.ncbi.nlm.nih.gov/38287239,Flux sampling in genome-scale metabolic modeling of microbial communities,2024,"Cell metabolism, Microbial communities, Genome-scale Metabolic Modeling, Flux Sampling","Patrick E Gelbach, Handan Cetin, Stacey D Finley","Background: Microbial communities play a crucial role in ecosystem function through metabolic interactions. Genome-scale modeling is a promising method to understand these interactions and identify strategies to optimize the community. Flux balance analysis (FBA) is most often used to predict the flux through all reactions in a genome-scale model; however, the fluxes predicted by FBA depend on a user-defined cellular objective. Flux sampling is an alternative to FBA, as it provides the range of fluxes possible within a microbial community. Furthermore, flux sampling can capture additional heterogeneity across a population, especially when cells exhibit sub-maximal growth rates. Results: In this study, we simulate the metabolism of microbial communities and compare the metabolic characteristics found with FBA and flux sampling. With sampling, we find significant differences in the predicted metabolism, including an increase in cooperative interactions and pathway-specific changes in predicted flux. Conclusions: Our results suggest the importance of sampling-based approaches to evaluate metabolic interactions. Furthermore, we emphasize the utility of flux sampling in quantitatively studying interactions between cells and organisms.",Modeling,Pan-cancer,Not Applicable,Not Applicable,Open Access,
PublicationView,CA199315,ICBP,"Microenvironment, Heterogeneity",10.1186/s13059-024-03177-y,Genome Biol,38291503,https://pubmed.ncbi.nlm.nih.gov/38291503,deMULTIplex2: robust sample demultiplexing for scRNA-seq,2024,"Generalized linear models, Expectation–maximization, Scrna-seq, Sample Multiplexing, Demultiplex","Qin Zhu, Daniel N Conrad, Zev J Gartner","Sample multiplexing enables pooled analysis during single-cell RNA sequencing workflows, thereby increasing throughput and reducing batch effects. A challenge for all multiplexing techniques is to link sample-specific barcodes with cell-specific barcodes, then demultiplex sample identity post-sequencing. However, existing demultiplexing tools fail under many real-world conditions where barcode cross-contamination is an issue. We therefore developed deMULTIplex2, an algorithm inspired by a mechanistic model of barcode cross-contamination. deMULTIplex2 employs generalized linear models and expectation-maximization to probabilistically determine the sample identity of each cell. Benchmarking reveals superior performance across various experimental conditions, particularly on large or noisy datasets with unbalanced sample compositions.",Computational Tool,Pan-cancer,Not Applicable,Not Applicable,Open Access,TOOL
PublicationView,CA264583,CSBC,"Tumor-Immune, Computational Model Development",10.1038/s41587-023-02019-9,Nat Biotechnol,38168986,https://pubmed.ncbi.nlm.nih.gov/38168986,Inferring super-resolution tissue architecture by integrating spatial transcriptomics with histology,2024,,"Daiwei Zhang, Amelia Schroeder, Hanying Yan, Haochen Yang, Jian Hu, Michelle Y Y Lee, Kyung S Cho, Katalin Susztak, George X Xu, Michael D Feldman, Edward B Lee, Emma E Furth, Linghua Wang, Mingyao Li","Spatial transcriptomics (ST) has demonstrated enormous potential for generating intricate molecular maps of cells within tissues. Here we present iStar, a method based on hierarchical image feature extraction that integrates ST data and high-resolution histology images to predict spatial gene expression with super-resolution. Our method enhances gene expression resolution to near-single-cell levels in ST and enables gene expression prediction in tissue sections where only histology images are available.",Pending Annotation,Pending Annotation,Pending Annotation,,Restricted Access,
PublicationView,CA268083,CCBIR,"Microenvironment, Method/Assay Development, Metastasis",10.1245/s10434-023-14887-1,Ann Surg Oncol,38243125,https://pubmed.ncbi.nlm.nih.gov/38243125,ASO Author Reflections: To Test or Not to Test: How Do We Decide the Optimal Site for Organoid Generation in Patients with Metastatic Disease?,2024,,"Shannon N Radomski, Jonathan B Greer, Fabian M Johnston, Andrew J Ewald",No abstract available.,Pending Annotation,Pending Annotation,Pending Annotation,,Restricted Access,
PublicationView,CA214411,TEC,"Microenvironment, Drug Resistance/Sensitivity, Heterogeneity",10.1073/pnas.2316170121,Proc Natl Acad Sci U S A,38252814,https://pubmed.ncbi.nlm.nih.gov/38252814,An architecturally rational hemostat for rapid stopping of massive bleeding on anticoagulation therapy,2024,"Trauma, Biomaterial, Hemostasis, Clotting, Hemostat","Vivian K Lee, Taewoo Lee, Amrit Ghosh, Tanmoy Saha, Manish V Bais, Kala Kumar Bharani, Milan Chag, Keyur Parikh, Parloop Bhatt, Bumseok Namgung, Geethapriya Venkataramanan, Animesh Agrawal, Kiran Sonaje, Leo Mavely, Shiladitya Sengupta, Raghunath Anant Mashelkar, Hae Lin Jang","Hemostatic devices are critical for managing emergent severe bleeding. With the increased use of anticoagulant therapy, there is a need for next-generation hemostats. We rationalized that a hemostat with an architecture designed to increase contact with blood, and engineered from a material that activates a distinct and undrugged coagulation pathway can address the emerging need. Inspired by lung alveolar architecture, here, we describe the engineering of a next-generation single-phase chitosan hemostat with a tortuous spherical microporous design that enables rapid blood absorption and concentrated platelets and fibrin microthrombi in localized regions, a phenomenon less observed with other classical hemostats without structural optimization. The interaction between blood components and the porous hemostat was further amplified based on the charged surface of chitosan. Contrary to the dogma that chitosan does not directly affect physiological clotting mechanism, the hemostat induced coagulation via a direct activation of platelet Toll-like receptor 2. Our engineered porous hemostat effectively stopped the bleeding from murine liver wounds, swine liver and carotid artery injuries, and the human radial artery puncture site within a few minutes with significantly reduced blood loss, even under the anticoagulant treatment. The integration of engineering design principles with an understanding of the molecular mechanisms can lead to hemostats with improved functions to address emerging medical needs.",Pending Annotation,Pending Annotation,Pending Annotation,,Restricted Access,
PublicationView,CA268083,CCBIR,"Microenvironment, Method/Assay Development, Metastasis",10.1245/s10434-023-14696-6,Ann Surg Oncol,38175427,https://pubmed.ncbi.nlm.nih.gov/38175427,Intra- and Interpatient Drug Response Heterogeneity Exist in Patients Undergoing Cytoreductive Surgery and Hyperthermic Intraperitoneal Chemotherapy for Nongynecologic Cancers,2024,"Organoids, Translational Research, Cytoreductive Surgery, Peritoneal Surface Malignancies, Hipec","Shannon N Radomski, Matthew Dunworth, Junior J West, Jonathan B Greer, Fabian M Johnston, Andrew J Ewald","Background: Select patients with peritoneal metastases are treated with cytoreductive surgery and hyperthermic intraperitoneal chemotherapy (CRS/HIPEC). We assayed for intra- and interpatient drug response heterogeneity through testing of patient-derived tumor organoids (PDTOs). Methods: PDTOs were generated from CRS/HIPEC patients from December 2021 to September 2022 and subjected to an in vitro HIPEC drug screen. Drug response was assessed with a cell viability assay and cleaved caspase-3 staining. Results: A total of 31 patients were consented for tissue collection. Viable tissue was harvested from 23, and PDTO generation was successful in 13 (56%). PDTOs were analyzed from six appendiceal, three colorectal, two small bowel, one gastric, and one adrenal tumor. Drug screen results were generated in as few as 7 days (62%), with an average time of 12 days. Most patients received mitomycin-C (MMC) intraoperatively (n = 9); however, in only three cases was this agent considered the optimal choice in vitro. Three sets of PDTOs were resistant (defined as > 50% PDTO viability) to all agents tested and two were pan-sensitive (defined as 3 or more agents with < 50% PDTO viability). In three patients, organoids were generated from multiple metastatic sites and intrapatient drug response heterogeneity was observed. Conclusions: Both intra- and interpatient drug response heterogeneity exist in patients undergoing CRS/HIPEC for nongynecologic abdominal cancers. Caution must be used when interpreting patient response to chemotherapeutic agents based on a single site of testing in those with metastatic disease.",Pending Annotation,Pending Annotation,Pending Annotation,,Restricted Access,
PublicationView,CA284086,MetNet,"Tumor-Immune, Microenvironment, Metastasis",10.1158/1078-0432.ccr-23-2991,Clin Cancer Res,38038687,https://pubmed.ncbi.nlm.nih.gov/38038687,Pancreatic Cancer's PD1-Roadblock: When T-Cell Reinvigoration Is Not Enough,2024,,"Varintra E Lander, David G DeNardo","PD1-blockade combinations in pancreatic ductal adenocarcinoma have been poorly effective, and the underlying reasons for this are unknown. A recent study revealed that chemoradiation plus PD1-blockade reinvigorates tumor-specific T cells; however, this T-cell activation is accompanied with exaggerated NFκB signaling, which may limit productive tumor-controlling immunity. See related article by Ali et al., p. 542.",Pending Annotation,Pending Annotation,Pending Annotation,,Restricted Access,
PublicationView,CA238720,CSBC,Drug Resistance/Sensitivity,10.1007/978-1-0716-3569-8_10,Methods Mol Biol,38147214,https://pubmed.ncbi.nlm.nih.gov/38147214,System-Level Analysis of the Effects of RPTPs on Cellular Signaling Networks,2024,"Tyrosine phosphorylation, Phosphatase activity, Signaling Networks","Jacqueline Gerritsen, Sophie Rizzo, Damien Thévenin, Forest M White","Tyrosine phosphorylation regulates signaling network activity downstream of receptor tyrosine kinase (RTK) activation. Receptor protein tyrosine phosphatases (RPTPs) serve to dephosphorylate RTKs and their proximal adaptor proteins, thus serving to modulate RTK activity. While the general function of RPTPs is well understood, the direct and indirect substrates for each RPTP are poorly characterized. Here we describe a method, quantitative phosphotyrosine phosphoproteomics, that enables the identification of specific phosphorylation sites whose phosphorylation levels are altered by the expression and activity of a given RPTP. In a proof-of-concept application, we use this method to highlight several direct or indirect substrate phosphorylation sites for PTPRJ, also known as DEP1, and show their quantitative phosphorylation in the context of wild-type PTPRJ compared to a mutant form of PTPRJ with increased activity, in EGF-stimulated cells. This method is generally applicable to define the signaling network effects of each RPTP in cells or tissues under different physiological conditions.",Pending Annotation,Pending Annotation,Pending Annotation,,Restricted Access,
PublicationView,CA209891,CSBC,"Drug Resistance/Sensitivity, Heterogeneity, Evolution",10.1158/2159-8290.cd-23-0389,Cancer Discov,37553760,https://pubmed.ncbi.nlm.nih.gov/37553760,GABA Regulates Electrical Activity and Tumor Initiation in Melanoma,2023,,"Mohita Tagore, Emiliano Hergenreder, Sarah C Perlee, Nelly M Cruz, Laura Menocal, Shruthy Suresh, Eric Chan, Maayan Baron, Stephanie Melendez, Asim Dave, Walid K Chatila, Jeremie Nsengimana, Richard P Koche, Travis J Hollmann, Trey Ideker, Lorenz Studer, Andrea Schietinger, Richard M White","Oncogenes can initiate tumors only in certain cellular contexts, which is referred to as oncogenic competence. In melanoma, whether cells in the microenvironment can endow such competence remains unclear. Using a combination of zebrafish transgenesis coupled with human tissues, we demonstrate that GABAergic signaling between keratinocytes and melanocytes promotes melanoma initiation by BRAFV600E. GABA is synthesized in melanoma cells, which then acts on GABA-A receptors in keratinocytes. Electron microscopy demonstrates specialized cell-cell junctions between keratinocytes and melanoma cells, and multielectrode array analysis shows that GABA acts to inhibit electrical activity in melanoma/keratinocyte cocultures. Genetic and pharmacologic perturbation of GABA synthesis abrogates melanoma initiation in vivo. These data suggest that GABAergic signaling across the skin microenvironment regulates the ability of oncogenes to initiate melanoma. Significance: This study shows evidence of GABA-mediated regulation of electrical activity between melanoma cells and keratinocytes, providing a new mechanism by which the microenvironment promotes tumor initiation. This provides insights into the role of the skin microenvironment in early melanomas while identifying GABA as a potential therapeutic target in melanoma. See related commentary by Ceol, p. 2128. This article is featured in Selected Articles from This Issue, p. 2109.","Cell Culture, RNA Sequencing, Cell Proliferation Assay, Transmission Electron Microscopy",Melanoma,Not Applicable,GSE236806,Open Access,
PublicationView,CA280829,PS-ON,"Drug Resistance/Sensitivity, Method/Assay Development",10.1158/0008-5472.can-23-0398,Cancer Res,37791818,https://pubmed.ncbi.nlm.nih.gov/37791818,Stroma-Mediated Breast Cancer Cell Proliferation Indirectly Drives Chemoresistance by Accelerating Tumor Recovery between Chemotherapy Cycles,2023,,"Daria Miroshnychenko, Tatiana Miti, Pragya Kumar, Anna Miller, Mark Laurie, Nathalia Giraldo, Marilyn M Bui, Philipp M Altrock, David Basanta, Andriy Marusyk","The ability of tumors to survive therapy reflects both cell-intrinsic and microenvironmental mechanisms. Across many cancers, including triple-negative breast cancer (TNBC), a high stroma/tumor ratio correlates with poor survival. In many contexts, this correlation can be explained by the direct reduction of therapy sensitivity induced by stroma-produced paracrine factors. We sought to explore whether this direct effect contributes to the link between stroma and poor responses to chemotherapies. In vitro studies with panels of TNBC cell line models and stromal isolates failed to detect a direct modulation of chemoresistance. At the same time, consistent with prior studies, fibroblast-produced secreted factors stimulated treatment-independent enhancement of tumor cell proliferation. Spatial analyses indicated that proximity to stroma is often associated with enhanced tumor cell proliferation in vivo. These observations suggested an indirect link between stroma and chemoresistance, where stroma-augmented proliferation potentiates the recovery of residual tumors between chemotherapy cycles. To evaluate this hypothesis, a spatial agent-based model of stroma impact on proliferation/death dynamics was developed that was quantitatively parameterized using inferences from histologic analyses and experimental studies. The model demonstrated that the observed enhancement of tumor cell proliferation within stroma-proximal niches could enable tumors to avoid elimination over multiple chemotherapy cycles. Therefore, this study supports the existence of an indirect mechanism of environment-mediated chemoresistance that might contribute to the negative correlation between stromal content and poor therapy outcomes. Significance: Integration of experimental research with mathematical modeling reveals an indirect microenvironmental chemoresistance mechanism by which stromal cells stimulate breast cancer cell proliferation and highlights the importance of consideration of proliferation/death dynamics. See related commentary by Wall and Echeverria, p. 3667.",Mathematical Modeling,Triple-Negative Breast Carcinoma       ,Breast,Not Applicable,Open Access,
PublicationView,CA268069,CCBIR,"Tumor-Immune, Microenvironment, Immunotherapy, Platform Development",10.3389/fimmu.2023.1284118,Front Immunol,38022656,https://pubmed.ncbi.nlm.nih.gov/38022656,Comparison of peripheral leukocyte parameters in patients receiving conventionally and hypofractionated radiotherapy schemes for the treatment of newly diagnosed glioblastoma,2023,"Leukocytes, Fractionation, Glioblastoma, Hypofractionated Radiotherapy, Conventionally Fractionated Radiotherapy","Lindsey Greenlund, Ryan Shanley, Kellen Mulford, Elizabeth C Neil, Jessica Lawrence, Susan Arnold, Michael Olin, G Elizabeth Pluhar, Andrew S Venteicher, Clark C Chen, Clara Ferreira, Margaret Reynolds, L Chinsoo Cho, Christopher Wilke, B Aika Shoo, Jianling Yuan, Kathryn Dusenbery, Lawrence R Kleinberg, Stephanie A Terezakis, Lindsey Sloan","Introduction: Treatment for glioblastomas, aggressive and nearly uniformly fatal brain tumors, provide limited long-term success. Immunosuppression by myeloid cells in both the tumor microenvironment and systemic circulation are believed to contribute to this treatment resistance. Standard multi-modality therapy includes conventionally fractionated radiotherapy over 6 weeks; however, hypofractionated radiotherapy over 3 weeks or less may be appropriate for older patients or populations with poor performance status. Lymphocyte concentration changes have been reported in patients with glioblastoma; however, monocytes are likely a key cell type contributing to immunosuppression in glioblastoma. Peripheral monocyte concentration changes in patients receiving commonly employed radiation fractionation schemes are unknown. Methods: To determine the effect of conventionally fractionated and hypofractionated radiotherapy on complete blood cell leukocyte parameters, retrospective longitudinal concentrations were compared prior to, during, and following standard chemoradiation treatment. Results: This study is the first to report increased monocyte concentrations and decreased lymphocyte concentrations in patients treated with conventionally fractionated radiotherapy compared to hypofractionated radiotherapy. Discussion: Understanding the impact of fractionation on peripheral blood leukocytes is important to inform selection of dose fractionation schemes for patients receiving radiotherapy.",Clinical Study,Glioblastoma,Brain,Not Applicable,Open Access,
PublicationView,CA263001,MetNet,"Microenvironment, Heterogeneity, Metastasis",10.3390/cancers16010018,Cancers (Basel),38201446,https://pubmed.ncbi.nlm.nih.gov/38201446,Kinase Insert Domain Receptor Q472H Pathogenic Germline Variant Impacts Melanoma Tumor Growth and Patient Treatment Outcomes,2023,"Melanoma, KDR, Immune response, Germline, Targeted Therapy","Milad Ibrahim, Irineu Illa-Bochaca, Faisal Fa'ak, Kelsey R Monson, Robert Ferguson, Chen Lyu, Eleazar Vega-Saenz de Miera, Paul Johannet, Margaret Chou, Justin Mastroianni, Farbod Darvishian, Tomas Kirchhoff, Judy Zhong, Michelle Krogsgaard, Iman Osman","Background: We previously reported a higher incidence of a pathogenic germline variant in the kinase insert domain receptor (KDR) in melanoma patients compared to the general population. Here, we dissect the impact of this genotype on melanoma tumor growth kinetics, tumor phenotype, and response to treatment with immune checkpoint inhibitors (ICIs) or targeted therapy. Methods: The KDR genotype was determined and the associations between the KDR Q472H variant (KDR-Var), angiogenesis, tumor immunophenotype, and response to MAPK inhibition or ICI treatment were examined. Melanoma B16 cell lines were transfected with KDR-Var or KDR wild type (KDR-WT), and the differences in tumor kinetics were evaluated. We also examined the impact of KDR-Var on the response of melanoma cells to a combination of VEGFR inhibition with MAPKi. Results: We identified the KDR-Var genotype in 81/489 (37%) patients, and it was associated with a more angiogenic (<i>p</i> = 0.003) and immune-suppressive tumor phenotype. KDR-Var was also associated with decreased PFS to MAPKi (<i>p</i> = 0.022) and a trend with worse PFS to anti-PD1 therapy (<i>p</i> = 0.06). KDR-Var B16 murine models had increased average tumor volume (<i>p</i> = 0.0027) and decreased CD45 tumor-infiltrating lymphocytes (<i>p</i> = 0.0282). The anti-VEGFR treatment Lenvatinib reduced the tumor size of KDR-Var murine tumors (<i>p</i> = 0.0159), and KDR-Var cells showed synergistic cytotoxicity to the combination of dabrafenib and lenvatinib. Conclusions: Our data demonstrate a role of germline KDR-Var in modulating melanoma behavior, including response to treatment. Our data also suggest that anti-angiogenic therapy might be beneficial in patients harboring this genotype, which needs to be tested in clinical trials.","Targeted Therapy Agent, ",Melanoma,Blood,Not Applicable,Open Access,
PublicationView,CA238475,CSBC,"Drug Resistance/Sensitivity, Heterogeneity",10.7717/peerj.16342,PeerJ,38025707,https://pubmed.ncbi.nlm.nih.gov/38025707,Integrated single-dose kinome profiling data is predictive of cancer cell line sensitivity to kinase inhibitors,2023,"Cancer, Drug response, Predictive modeling, cell phenotypes, Drug sensitivity, Data integration, Cell signaling, Machine Learning, Kinase Inhibitor Treatment","Chinmaya U Joisa, Kevin A Chen, Matthew E Berginski, Brian T Golitz, Madison R Jenner, Gabriela Herrera Loeza, Jen Jen Yeh, Shawn M Gomez","Protein kinase activity forms the backbone of cellular information transfer, acting both individually and as part of a broader network, the kinome. Their central role in signaling leads to kinome dysfunction being a common driver of disease, and in particular cancer, where numerous kinases have been identified as having a causal or modulating role in tumor development and progression. As a result, the development of therapies targeting kinases has rapidly grown, with over 70 kinase inhibitors approved for use in the clinic and over double this number currently in clinical trials. Understanding the relationship between kinase inhibitor treatment and their effects on downstream cellular phenotype is thus of clear importance for understanding treatment mechanisms and streamlining compound screening in therapy development. In this work, we combine two large-scale kinome profiling data sets and use them to link inhibitor-kinome interactions with cell line treatment responses (AUC/IC<sub>50</sub>). We then built computational models on this data set that achieve a high degree of prediction accuracy (R<sup>2</sup> of 0.7 and RMSE of 0.9) and were able to identify a set of well-characterized and understudied kinases that significantly affect cell responses. We further validated these models experimentally by testing predicted effects in breast cancer cell lines and extended the model scope by performing additional validation in patient-derived pancreatic cancer cell lines. Overall, these results demonstrate that broad quantification of kinome inhibition state is highly predictive of downstream cellular phenotypes.",Computational Modeling,Pan-cancer,Not Applicable,Not Applicable,Open Access,
PublicationView,CA209971,CSBC,"Tumor-Immune, Microenvironment, Metastasis",10.1016/j.celrep.2023.113494,Cell Rep,38085642,https://pubmed.ncbi.nlm.nih.gov/38085642,T cell-mediated curation and restructuring of tumor tissue coordinates an effective immune response,2023,"Melanoma, Metabolism, T cells, Codex, Cancer Immunotherapy, T Cell Therapy, T Cell Phenotype, Checkpoint Inhibitor Therapy, Cp: Immunology, Cp: Cancer, Multiplexed Tissue Imaging, Spatial Biology","John W Hickey, Maximillian Haist, Nina Horowitz, Chiara Caraccio, Yuqi Tan, Andrew J Rech, Marc-Andrea Baertsch, Xavier Rovira-Clavé, Bokai Zhu, Gustavo Vazquez, Graham Barlow, Eran Agmon, Yury Goltsev, John B Sunwoo, Markus Covert, Garry P Nolan","Antigen-specific T cells traffic to, are influenced by, and create unique cellular microenvironments. Here we characterize these microenvironments over time with multiplexed imaging in a melanoma model of adoptive T cell therapy and human patients with melanoma treated with checkpoint inhibitor therapy. Multicellular neighborhood analysis reveals dynamic immune cell infiltration and inflamed tumor cell neighborhoods associated with CD8<sup>+</sup> T cells. T cell-focused analysis indicates T cells are found along a continuum of neighborhoods that reflect the progressive steps coordinating the anti-tumor immune response. More effective anti-tumor immune responses are characterized by inflamed tumor-T cell neighborhoods, flanked by dense immune infiltration neighborhoods. Conversely, ineffective T cell therapies express anti-inflammatory cytokines, resulting in regulatory neighborhoods, spatially disrupting productive T cell-immune and -tumor interactions. Our study provides in situ mechanistic insights into temporal tumor microenvironment changes, cell interactions critical for response, and spatial correlates of immunotherapy outcomes, informing cellular therapy evaluation and engineering.","Immunotherapy, Imaging       ",Melanoma,Skin,Not Applicable,Open Access,
PublicationView,CA209891,CSBC,"Drug Resistance/Sensitivity, Heterogeneity, Evolution",10.1016/j.xcrm.2023.101244,Cell Rep Med,37858338,https://pubmed.ncbi.nlm.nih.gov/37858338,High-throughput chemogenetic drug screening reveals PKC-RhoA/PKN as a targetable signaling vulnerability in GNAQ-driven uveal melanoma,2023,"Melanoma, PKC, FAK, Combination therapy, Synthetic Lethality, Precision Medicine, Gnaq, Pkn/prk, Chemogenetic Drug Screening","Nadia Arang, Simone Lubrano, Michele Ceribelli, Damiano C Rigiracciolo, Robert Saddawi-Konefka, Farhoud Faraji, Sydney I Ramirez, Daehwan Kim, Frances A Tosto, Erica Stevenson, Yuan Zhou, Zhiyong Wang, Julius Bogomolovas, Alfredo A Molinolo, Danielle L Swaney, Nevan J Krogan, Jing Yang, Silvia Coma, Jonathan A Pachter, Andrew E Aplin, Dario R Alessi, Craig J Thomas, J Silvio Gutkind","Uveal melanoma (UM) is the most prevalent cancer of the eye in adults, driven by activating mutation of GNAQ/GNA11; however, there are limited therapies against UM and metastatic UM (mUM). Here, we perform a high-throughput chemogenetic drug screen in GNAQ-mutant UM contrasted with BRAF-mutant cutaneous melanoma, defining the druggable landscape of these distinct melanoma subtypes. Across all compounds, darovasertib demonstrates the highest preferential activity against UM. Our investigation reveals that darovasertib potently inhibits PKC as well as PKN/PRK, an AGC kinase family that is part of the ""dark kinome."" We find that downstream of the Gαq-RhoA signaling axis, PKN converges with ROCK to control FAK, a mediator of non-canonical Gαq-driven signaling. Strikingly, darovasertib synergizes with FAK inhibitors to halt UM growth and promote cytotoxic cell death in vitro and in preclinical metastatic mouse models, thus exposing a signaling vulnerability that can be exploited as a multimodal precision therapy against mUM.",Clinical Study,Uveal Melanoma,Skin,Not Applicable,Open Access,
PublicationView,CA274506,CSBC,"Tumor-Immune, Microenvironment",10.1158/2159-8290.cd-23-0240,Cancer Discov,37966260,https://pubmed.ncbi.nlm.nih.gov/37966260,"Tumor Explants Elucidate a Cascade of Paracrine SHH, WNT, and VEGF Signals Driving Pancreatic Cancer Angiosuppression",2023,,"Marie C Hasselluhn, Amanda R Decker-Farrell, Lukas Vlahos, Dafydd H Thomas, Alvaro Curiel-Garcia, H Carlo Maurer, Urszula N Wasko, Lorenzo Tomassoni, Stephen A Sastra, Carmine F Palermo, Tanner C Dalton, Alice Ma, Fangda Li, Ezequiel J Tolosa, Hanina Hibshoosh, Martin E Fernandez-Zapico, Alexander Muir, Andrea Califano, Kenneth P Olive","The sparse vascularity of Pancreatic Ductal Adenocarcinoma (PDAC) presents a mystery: what prevents this aggressive malignancy from undergoing neoangiogenesis to counteract hypoxia and better support growth? An incidental finding from prior work on paracrine communication between malignant PDAC cells and fibroblasts revealed that inhibition of the Hedgehog (HH) pathway partially relieved angiosuppression, increasing tumor vascularity through unknown mechanisms. Initial efforts to study this phenotype were hindered by difficulties replicating the complex interactions of multiple cell types in vitro. Here we identify a cascade of paracrine signals between multiple cell types that act sequentially to suppress angiogenesis in PDAC. Malignant epithelial cells promote HH signaling in fibroblasts, leading to inhibition of non-canonical WNT signaling in fibroblasts and epithelial cells, thereby limiting VEGFR2-dependent activation of endothelial hypersprouting. This cascade was elucidated using human and murine PDAC explant models, which effectively retain the complex cellular interactions of native tumor tissues.",Pending Annotation,Pending Annotation,Pending Annotation,Pending Annotation,Restricted Access,
