Component,GrantView_id,Grant Name,Grant Number,Grant Abstract,Grant Type,Grant Theme Name,Grant Institution Name,Grant Institution Alias,Grant Investigator,Grant Consortium Name,Grant Start Date,Grant End Date,NIH RePORTER Link,Duration of Funding,Embargo End Date,Grant Synapse Team,Grant Synapse Project,Id,entityId
GrantView,CA214282,Chromatin Mobility in Response to DNA Damage,CA214282,"Genomic translocations are well-established drivers of therapy-related myeloid neoplasms (t-MNs). t-MNs have poor outcomes and affect survivors of primary malignancies. It is not possible to predict which patients treated for a primary cancer will develop t-MN, which constitutes a major clinical challenge. A method to assess the risk of translocations after patient exposures to DNA damaging chemotherapy and radiations would inform therapeutic decisions. Translocations depend on the movements of broken DNA ends on non-homologous chromosomes. We developed a method based on diffractive optical elements (DOE) to track photoactivated chromatin reporters and map chromatin motions in the cell nucleus. Our preliminary data show fluctuations in chromatin mobility in response to DNA damage, which may impact on genomic translocations frequencies in cells with DNA damage. The goals for this PS-OP are (1) to develop new methodology to measure chromatin mobility in the 3D nuclear space, (2) to identify the mechanisms controlling chromatin motions after DNA damage and assess their functional consequences for DNA repair efficacy, repair quality, and translocations frequencies, and (3) to test for clinically relevant associations between chromatin motions and genomic translocations using hematopoietic stem/progenitor cell samples from t-MN patients and healthy donors (translational goal). Characterizing the physical origins of genomic translocations may yield new methods to predict, and new targets to prevent, genomic rearrangements driving cancer initiation. Beyond the proposed research focused on chromatin motions during DNA repair, we anticipate broad applicability of our novel 3D imaging resources to study chromatin in multiple contexts.",U01,"Heterogeneity, Evolution","Indiana University - Purdue University Indianapolis, University of Minnesota, University of North Carolina at Chapel Hill, Wake Forest","IUPUI, UMinn, UNC, Wake Forest","Pierre Vidi, Keith Bonin",PS-ON,9/19/18,8/31/24,https://reporter.nih.gov/search/VJ-pSLO_80mwEBKlPShhKw/projects,5,,https://www.synapse.org/#!Team:3471058,https://www.synapse.org/#!Synapse:syn17083844,fa7bbb11-d10b-433c-ab38-6b1ec080675f,syn53259587
GrantView,CA214292,Engineered Invasive Human Breast Tumors with Integrated Capillaries and Lymphatics,CA214292,"Current in vivo and in vitro models of human cancer remain limited in their ability to replicate progression to invasive disease in an easily accessible and physiologically relevant format. Tissue-engineered tumors may provide a more powerful system by enabling modular control over key aspects of a tumor and its microenvironment, such as vascular density or interstitial pressure.
This collaborative study seeks to develop and apply new methods of engineering vascularized tumors in vitro, in which the cellular, physical, and genetic composition of the tumor and its microenvironment can be controlled with high spatial and temporal resolution.
The team consists of experts in biomaterials and tissue engineering (Tien, Boston University), quantitative developmental and tumor biology (Nelson, Princeton Unversity), mechanics (Ekinci, Boston University), and clinical tumor biology (Radisky, Mayo Clinic Cancer Center) and pathology (Nassar).
The core enabling technology, which we have been developing over the past fifteen years, is the use of three-dimensional (3D) micropatterned extracellular matrix hydrogels as scaffolds for directing the 3D organization of engineered tissues. Specifically, the proposed work will create microscale human breast tumors that contain perfused capillaries and draining lymphatics, which provide routes for tumor cell escape and enable the capture of those cells for downstream expression profiling. Interstitial stresses and biochemical composition will be analyzed by non-invasive imaging and repeated sampling of interstitial fluid, respectively, to provide longitudinal data for correlation with tumor cell behavior.
This work will also create vascularized collagenous stroma that can accept human breast tumor biopsies as in vitro ""patient-derived xenografts"", for the discovery of candidate mutations that favor tumor invasion and escape; these mutations will then be tested in hypothesis-driven analyses using the engineered breast tumors. More broadly, this work will disseminate these microscale tissue engineering technologies to cancer research laboratories for adaptation to other types of cancers and tumor cell behaviors.",U01,"Metastasis, Microenvironment",Boston University,BU,"Joe Tien, Celeste Nelson",TEC,4/1/17,3/31/23,https://reporter.nih.gov/search/rVWV5F7zNkCZ2ClqTOj53g/projects,5,,https://www.synapse.org/#!Team:3471117,https://www.synapse.org/#!Synapse:syn22116891,c2b9813b-ecd0-49f1-990f-f73262ae7807,syn53259587
GrantView,CA214297,Metastasis and Biophysics of Clusters of Circulating Tumor Cells in the Microcirculation,CA214297,"Circulating tumor cells drive metastasis when they travel from primary tumors to distant organs via the circulation. Multicellular clusters of circulating tumor cells though less frequently observed in blood, are much more likely to establish metastases than individual circulating tumor cells and the presence of tumor clusters in blood has been associated with dramatically worse prognoses in patients. Although there are many suspected explanations for their greater metastatic potentials, much is still unknown about the behavior of clusters, especially in the narrow vessels of the body. Recent evidence has demonstrated that cluster transiting through narrow constrictions experience dynamic changes to structure and organization. Forces in the microcirculation cause clusters to reversibly re-organize into single-file chains to enable transit through narrow capillary-sized vessels and nuclear envelopes are ruptured and rapidly repaired during migration events through narrow constrictions. Two biophysical parameters within clusters, cellular adhesion strengths and nuclear mechanics, are vital for these behaviors. Because of the important role that these parameters play in many aspects of metastatic progression, we hypothesize that these parameters modulate the biophysical responses of clusters to physical forces in the microcirculation, and that these interactions play a significant role in the competitive edge that clusters have edge over individual cancer cells for seeding metastases. To this end, we propose three specific aims. In aim 1, we will develop next generation models of the human microcirculation with rounded networks of endothelial cell coated microfluidic devices and geometry matched computational simulations. In aim 2, we will explore how intercellular adhesions affect the biophysical responses and metastasis-forming abilities of homogeneous versus heterogeneous clusters in the microcirculation through the use of our developed models. Finally, in aim 3 we will study the physical basis for nuclear envelope rupture, DNA-damage, genetic instability and other DNA-level affects that are involved in metastatic progression. Understanding the interplay between the biophysics and biology of clusters within the microcirculation will elucidate mechanisms that can be used to combat the progression of cluster-initiated metastases.",U01,"Metastasis, Microenvironment","Massachusetts General Hospital, Harvard Medical School","MGH, HMS","Mehmet Toner, Daniel A. Haber, Shyamala Maheswaran",PS-ON,5/8/18,4/30/23,https://reporter.nih.gov/search/DMj3F_9gPkepx5txhsNdSA/projects,4,,https://www.synapse.org/#!Team:3471111,https://www.synapse.org/#!Synapse:syn22115076,5ff30fb2-052d-436c-815b-5c314f0921ca,syn53259587
GrantView,CA214300,An Organotypic Model Recapitulating Colon Cancer Microenvironment and Metastasis,CA214300,"Colon cancer is the third most common cancer in US and the third most common cause of cancer deaths. While early stages of cancer are curable, more than half of the patients who present with disease have locally advanced cancer (lymph nodes) or disease that has spread to other organs (metastatic colon cancer). Sadly, there are few options for patients once the disease has progressed to the metastatic stage. The 5-year survival once a patient has metastatic colon cancer is < 15%.
Managing metastatic colon cancer is a formidable problem for which physicians and scientists have few models with which to dissect the progression from local disease to metastatic disease. To address this gap, we propose to engineer three models to examine key aspects of the microenvironment in both the primary site and metastatic sites.
Our goals are:
1. To integrate stroma into the organotypic models to study the influence of inflammation on cancer cell invasion and migration.
2. To engineer a liver metastasis model using a microfluidic body-on-a-chip platform, so we can study the transformation of cancer cells by the different organ microenvironments.
3. To test concepts and validate the engineered models using an immunoproficient murine metastatic model.
All models will be linked by investigation of the transcriptome and the epigenome seeking alterations which will illuminate new targets for this deadly disease.",U01,"Metastasis, Microenvironment, Tumor-Immune",Cleveland Clinic,Cleveland Clinic,"Emina Huang, Xiling Shen, Michael Shuler",TEC,9/25/17,8/30/24,https://reporter.nih.gov/search/DTK-mSEg3UCzZtTpcZP7dw/projects,6,,https://www.synapse.org/#!Team:3471119,https://www.synapse.org/#!Synapse:syn22116893,8f84ae84-45c3-4e84-97ef-8e925abea05c,syn53259587
GrantView,CA214354,Mechanisms of Impaired T-Cell Mechanosensing of Melanoma Antiagents,CA214354,"This project investigates how the tumor microenvironment (TME) impairs in situ interactions of T-cell surface molecules with counter-molecules on the melanoma cells to suppress anti-tumor immunity. Detailed mechanistic understanding will be obtained by an integrated approach that combines physical science (PS) based tools with two complementary pre-clinical mouse models of melanoma T cell immunity, which will be further tested using bio specimens from melanoma patients. The molecular focus is the T-cell receptor (TCR) that initiates the T-cell antigen recognition upon binding to peptide-major histocompatibility complex (pMHC), and the coreceptor CD8 that co-ligates with the pMHC. The first PS tool is single-molecule force techniques for quantifying TCR mechanosensing through in situ kinetic analyses of molecular interactions with concurrent imaging of intracellular signals on a single cell. The second PS tool is DNA-based digital tension probes that report cell generated pulling forces on the TCR and CD8 via engaged pMHC. One animal model is a recognized standard that uses melanoma conjugated with a chicken ovalbumin antigen recognized by the OT-I TCR. The other animal model is a melanoma self-antigen gp100 in conjunction with JR209 humanized transgenic mice. By analyzing the mechanically regulated two-dimensional (2D) ligand binding of TCR and/or CD8 at the T-cell membrane, we observed that the TCR avidities for the pMHC of CD8 T cells infiltrating primary murine melanomas grown in vivo are significantly reduced relative to T cells within non-tumor associated tissues (spleen and blood). Such differential avidities were not detected by the conventional assay using pMHC tetramer, attesting to the power of our mechanics-based methods for analyzing TCR–pMHC interactions. We also found melanomas to substantially alter the force-dependent TCR–pMHC bond durability: in tumor-free animals, the TCR and pMHC formed a catch-slip bond whose lifetime first increased and then decreased with increasing force, which we have previously demonstrated to govern T cell signaling and effector function, whereas in melanoma-bearing animals, the TCR–pMHC bond lifetime only decreased with increasing force, i.e., behaved as a slip bond and were associated with reduced T cell effector functions. We hypothesize that deficient CD8 T cell immunity in melanoma results, at least in part, from impaired antigen recognition within the TME, as manifested by the altered TCR mechanosensing of pMHC. Three specific aims are proposed to test our hypothesis: 1) Determine the molecular interactions crucial to T cell antigen recognition that are impaired by the TME; 2) Define the functional consequences of suppressed T cell antigen recognition; and 3) Elucidate the mechanisms underlying the TME suppression of T cell antigen recognition. Completing these aims has the potential to identify new immunotherapeutic targets for the treatment of melanoma to improve the outcomes of patients with advanced disease.",U01,"Tumor-Immune, Microenvironment","Georgia Institute of Technology, New York University","GTech, NYU","Cheng Zhu, Michelle Krogsgaard, Susan Napier Thomas",PS-ON,4/1/17,3/31/23,https://reporter.nih.gov/search/O0nQm-at10WOsnXHCp3nvA/projects,5,,https://www.synapse.org/#!Team:3471059,https://www.synapse.org/#!Synapse:syn17083914,7a86c726-6508-45f4-84df-5f57a115bd13,syn53259587
GrantView,CA214369,3D Models of Immunotherapy,CA214369,"Cancer immunotherapy is currently providing exciting new treatment options for patients. However, the majority of patients still do not respond to current immunotherapies, and this failure likely results, at least in part, from an inability to generate potent cytotoxic T lymphocyte (CTL) responses against cancer antigens, and the tolerizing effects of the tumors.
Therapeutic vaccines may be needed to generate robust CTL responses, and we have recently developed a new biomaterials strategy for vaccination that led to unprecedented ability to eradicate established tumors in preclinical models. However, the development of next generation vaccines based on this concept, and therapeutic cancer vaccines more generally, is significantly impaired by the limitations of current model systems available to explore and test these types of therapies.
Preclinical studies typically utilize mouse models, but even humanized mouse models do not capture key aspects of human biology relevant to immunotherapies. Cell culture studies can be used to explore human immune cell biology, but standard human cell culture models do not recreate the 3D, multicellular interactions that direct the immune response against cancer nor the tumor cell-immune cell interactions that dictate vaccination success.
This application proposes to create 3D models of human biology that enable one to study key aspects of vaccination. These models will replicate, in vitro, the vaccine site itself, where the immune response to cancer antigens is initiated, and the tumor, where immune cells encounter cancerous cells, and the function of the immune cells is typically down-regulated by the cells within the tumor.
In order to thoroughly characterize and validate our approach, we will first create 3D mouse models of the vaccine site and the tumor, as this will allow direct comparison between the 3D in vitro model and the in vivo tissue of the same type. These studies will be key to validate the models. We will then create the human models, using tumor, vascular and immune cells all derived from the same patient. These human models will be used to begin exploring several key issues in therapeutic cancer vaccination, including the role of checkpoint blockade and angiogenic factors on the tumors, and the impact of vaccination intratumorally on the immune cell response.
At the completion of this project we will have developed and thoroughly characterized novel, 3D models of both mouse and human biology that will replicate the vaccination site and vascularized tumors. These models will allow us to explore key questions relevant to human cancer immunotherapy, and provide a means to screen the impact of immunomodulatory agents (e.g., various adjuvants) in the future as we and others develop new cancer immunotherapies.",U01,"Tumor-Immune, Microenvironment, Drug Resistance/Sensitivity","Harvard University, Dana-Farber Cancer Institute","Harvard, DFCI","David Mooney, Jennifer Lewis, Frank Hodi",TEC,4/1/17,3/31/23,https://reporter.nih.gov/search/nsW1bGE7dk-zguRq_jYXew/projects,5,,https://www.synapse.org/#!Team:3471120,https://www.synapse.org/#!Synapse:syn22116894,585603ed-4822-4e35-ab49-b10b43dcdbe4,syn53259587
GrantView,CA214381,Development of Physiologic Tissue Models to Assess Tumor Explant Response to Immune Checkpoint Blockade,CA214381,"Recent successes of cancer immunotherapy have identified a need for more sophisticated ex vivo diagnostic systems that mimic human tumor biology and predict the response to immune-based therapies in real-time. These systems must recognize that tumor formation and progression involves the co-evolution of cancer cells together with the extracellular matrix, vascular system, immune cells, and supportive cells (e.g. fibroblasts). Thus, a continuous interaction exists between tumor cells and non-tumor cell components through direct cell contact or by the secretion of signaling factors, which is poorly modeled by current systems.We have developed a three-dimensional microfluidic device that contains tumor cell spheroids, which are embedded within an extracellular matrix incorporating endothelial cells, immune cells, growth factors and cytokines. This recapitulates many aspects of the tumor microenvironment, and promotes cancer cell proliferation and migration. We recently found that this system is capable of culturing primary human tumor spheroids from patient derived cancer specimens. Importantly, these spheroids not only contain tumor cells, but also bring with them their unique repertoire of infiltrating immune cells, enabling the capacity to study the phenotypes and function of these immune cell populations, cytokines, and other responses ex vivo.Furthermore, we have demonstrated the ability of this system to measure the specific impact of anti-PD1 or anti-CTLA4 antibodies on immune cell activation, cytokine profiles, and tumor cell killing from patient derived melanoma and thyroid cancer specimens. While evaluation of responses to immunotherapies ex vivo has not been previously tractable, this 3D microfluidic model may be ideally suited for such investigation. Thus, the overarching hypothesis of this proposal is that physiologic modeling of the tumor microenvironment through microfluidic culture will enhance the ability to predict patient-derived tumor responsiveness to immune checkpoint blockade.Our goals are:1. To refine and validate our existing microfluidic tumor culture model to assess response to immune checkpoint inhibitor therapies. Our goal is to extend our preliminary studies by analyzing ex vivo response to immune checkpoint blockade using short-term tumor spheroid culture, and to develop a longer-term culture model with a vascular network.2. To incorporate vascular flow of immune cells to monitor extravasation and expansion of immune effector cells in tumor culture. The purpose of these studies is to build a more physiologic system that accounts for immune cell trafficking into the tumor, and controls for the potential loss of immune cells that may occur with chronic tumor culture.3. To provide initial clinical validation of these assays, and develop strategies to overcome intrinsic anti-PD1 resistance. Since only a subset of cancer patients achieve a robust response to immune checkpoint blockade, these data have the potential to yield a powerful predictive tool that could impact clinical-decision making.",U01,"Tumor-Immune, Microenvironment, Drug Resistance/Sensitivity",Massachusetts Institute of Technology,MIT,"Roger Kamm, David Barbie",TEC,9/30/17,8/31/22,https://reporter.nih.gov/search/bITms3flDUGxk7jm3L6ZEA/projects,4,,https://www.synapse.org/#!Team:3471121,https://www.synapse.org/#!Synapse:syn22116895,26d0374e-e33e-4419-b738-fe14aa4a735f,syn53259587
GrantView,CA214411,Engineering Personalized Micro-Tumor Ecosystems,CA214411,"Being able to select the most effective therapy for each individual cancer patient remains the Holy Grail in cancer treatment. In today’s precision medicine, this selection is made based on molecular and genetic profiling of biomarker expression. However, when multiple driver mutations exist, how do we prioritize the first target?
To address this limitation of today’s precision medicine, we propose to engineer a ‘micronized tumor ecosystem’ that conserves the patient tumor characteristics with high fidelity, and integrated with a novel machine learning algorithm can accurately predict anticancer drug responses. Analogous to how antibiotics are prescribed to patients after a bacterial sensitivity culture, the micronized tumor ecosystem can be used to choose the most effective therapy for a patient before initiation of treatment.
Our goals are:
1. engineer microfluidics-based cancer ecosystem-on-a-chip using tumor explants and characterize the physicochemical contribution of each component on the fidelity of the system to copy the parental tumor, using comprehensive biological analyses;
2. develop a novel multiple instance-machine learning algorithm, which can overcome the challenges of tumor heterogeneity in precision medicine, and make our predictions more accurate based on learning functional read-outs; and
3. validate the predictive accuracy of breast cancer ecosystems using patient-derived tumors.
We envisage a future where genetic testing will highlight the targets, while a functional-testing platform will prioritize the most effective treatment regimen for the cancer patients.",U01,"Microenvironment, Drug Resistance/Sensitivity, Heterogeneity","Brigham and Womens Hospital, Massachusetts General Hospital, University of Pennsylvania","BWH, MGH, UPenn","Shiladitya Sengupta, Ali Khademhosseini, Shivani Agarwal, Aditya Bardia",TEC,9/21/17,7/31/22,https://reporter.nih.gov/search/tYQ7OOZvY0i9zLB-pSZZOQ/projects,4,,https://www.synapse.org/#!Team:3471118,https://www.synapse.org/#!Synapse:syn22116892,b20a778c-f243-4e44-8ae2-714c3948d3ae,syn53259587
GrantView,CA215709,Precision lung cancer therapy design through multiplexed adapter measurement,CA215709,"Combination therapy holds considerable promise for overcoming intrinsic and acquired resistance to targeted therapies but will rely on our ability to precisely identify the best drug combination for particular tumors. While immense focus exists on using genomic information to direct therapeutic strategies, many resistance mechanisms do not rely on genetic changes and, in fact, can arise from entirely tumor-extrinsic factors within the microenvironment. For example, although the receptor tyrosine kinase (RTK) AXL is widely implicated in resistance to targeted therapies such as those directed against EGFR, its regulation by phosphatidylserine, as opposed to mutation, amplification or autocrine ligand, make identifying the tumors that will respond to AXL-targeted therapy especially challenging.<br><br>We propose to study both downstream and receptor-proximal signaling during bypass resistance mediated by AXL, and then across a wider panel of RTKs. Integrating these measurements with quantitative modeling will identify the connectivity between receptors, interacting adapters, and downstream signaling events, thereby defining the essential set of signaling network changes required for tumor cell survival in response to targeted therapeutics. We will then apply this understanding by measuring RTK-adapter interaction using proximity ligation to predict the RTKs driving bypass resistance and test these predictions in a panel of patient-derived xenograft tumors.<br><br>This work will considerably improve our ability to identify effective drug combinations by (a) developing a mechanism-based assay for identifying which among many RTKs tumor cells are relying upon for survival, (b) improving our basic understanding of exactly how network-level bypass resistance arises due to activation of non-targeted RTKs both at the receptor-proximal and downstream signaling layer, and (c) expanding our understanding of the RTK AXL with links to resistance, tumor spread, and immune avoidance.",U01,"Heterogeneity, Drug Resistance/Sensitivity","Massachusetts Institute of Technology, Moffitt Cancer Center, University of California; Los Angeles","MIT, Moffitt, UCLA","Aaron Meyer, Eric Haura, Forest M. White",CSBC,9/25/17,8/31/23,https://reporter.nih.gov/search/kK6jF-Qy1U-lm9BFR9L_hQ/projects,5,,https://www.synapse.org/#!Team:3471061,https://www.synapse.org/#!Synapse:syn17084058,cb2af0bb-ec99-48cb-b56a-d8f2415da3da,syn53259587
GrantView,CA215794,An Integrated Systems Approach for Incompletely Penetrant Onco-phenotypes,CA215794,"Perturbation of cancer cells often leads to heterogeneous outcomes, in that most cells exhibit a dominant phenotype, but the rest appear resistant or hypersensitive to the perturbation. If the penetrance of such a phenotype is heritably incomplete, then it becomes extremely difficult to decipher the upstream molecular events that heterogenize the population and cause response variability. By combining quantitative measurements with dynamical models, systems approaches should be useful if provided with a core network of important biomolecules. The daunting hurdle lies in identifying phenotype-relevant regulatory heterogeneities that define the network for penetrance at the single-cell level. Our proposal seeks to exploit a new approach, called stochastic frequency matching (SFM), for elaborating the molecular networks upstream of incompletely penetrant phenotypes. SFM identifies and parameterizes single-cell heterogeneities—which emerge after a uniform perturbation but before the appearance of a variable phenotype—to hone in on regulatory states corresponding to future penetrance. For an onco-phenotype incompletely triggered by ErbB receptor tyrosine kinase signaling in 3D cultured breast epithelia, we implemented SFM using microarrays to uncover a network of critical nucleocytoplasmic regulators. The goals of this proposal are to apply systems approaches to the ErbB nucleocytoplasmic network and adapt SFM more broadly to RNA sequencing of breast cancer patients with ErbB amplification. Based on our provisional SFM results, we hypothesize that ErbB signaling heterogeneously reconfigures the nucleocytoplasmic shuttling state of cells to determine incomplete penetrance of the onco-phenotype. The aims are to: 1) Identify network-level mechanisms for the incompletely penetrant ErbB1:ErbB2 phenotype. 2) Determine whether drivers of incomplete penetrance in 3D define shuttling states in human cancers and promote ErbB2-driven mammary tumors in mice. 3) Sequence and parameterize regulatory-state heterogeneity in HER2+ breast cancers to assemble patient-specific network models of shuttling variability and sensitivity. Drivers of incomplete penetrance are important for understanding transitions during tumor initiation-progression and for developing therapeutic interventions with more reliable patient outcomes. SFM gives the Cancer Systems Biology Consortium a means to identify driver networks in a comprehensive and hypothesis-driven way.",U01,"Heterogeneity, Evolution",University of Virginia,UVA,"Kevin Janes, Fabian Theis, Christiane Fuchs, Kristen Atkins, Jennifer Harvey",CSBC,9/15/17,7/31/22,https://reporter.nih.gov/search/cZ68DqLxIkCkYVlmqs2GGQ/projects,4,,https://www.synapse.org/#!Team:3471062,https://www.synapse.org/#!Synapse:syn17084062,08a58f9f-8b3e-4c07-9348-96381cea4820,syn53259587
GrantView,CA215798,"Systems approaches to understanding the relationships between genotype, signaling, and therapeutic efficacy",CA215798,"The promise of precision medicine for cancer is a personalized therapeutic strategy based on the molecular features of an individual's tumor. This concept is most effectively demonstrated by the successes in targeting oncogenic kinases with small molecules or antibody inhibitors. But while successes have garnered significant attention in recent years, precision medicine has not made an impact for the vast majority of cancer patients. The high-profile successes associated with inhibitors of kinases such as ABL, EGFR, ALK, and B-RAF bring to the forefront the major disappointment associated with efforts to establish precision medicine for cancers expressing mutant K-RAS. K-RAS mutations occur in 15% of all cancers, but are significantly enriched in three of the four most deadly forms: lung, colorectal, and pancreatic. Importantly, KRAS mutations are associated with resistance to conventional and targeted therapies, most notably therapies targeting the epidermal growth factor receptor. As such, three decades after the initial identification of KRAS mutations in human cancers, prospective knowledge of K-RAS mutation state in a given cancer is useful largely only for its ability to predict negative response to therapy. The major shortfall of the precision medicine movement is the lack of direct inhibitors for specific oncogenic events, such as K-RAS mutation. The alternative to direct inhibition of an activated oncoprotein is to target downstream pathways, but this requires an absolute understanding of contextual cues that influence oncogenic effector signaling. Lack of depth in our understanding of the relationship between genotype, network signaling state, and therapeutic response leads to ineffective precision medicine. With its focus on network-level biology and its ability to uncover molecular mechanisms through computational analysis, systems biology provides a means to overcome this lack of understanding. This project is designed to take advantage of the broad array of expertise within our research community in order to make precision medicine a realistic goal for patients with K-RAS mutant cancer.",U01,Drug Resistance/Sensitivity,"Harvard University, Massachusetts Institute of Technology, Vanderbilt University","Harvard, MIT, Vanderbilt","Douglas A. Lauffenburger, Kevin M. Haigis, Wilhelm Haas, Ken Lau, Kimmie Ng",CSBC,4/5/17,3/31/22,https://reporter.nih.gov/search/8rq8qU8LIE2HVIzOe9pbxg/projects,4,,https://www.synapse.org/#!Team:3471060,https://www.synapse.org/#!Synapse:syn17084053,971bc6a4-c630-44f7-87cc-ff4b8cd7c0e8,syn53259587
GrantView,CA215845,Phenotype Transitions in Small Cell Lung Cancer,CA215845,"The goal of our U01 project to develop rational systems approaches to treat cancer. Small-cell lung cancer (SCLC) is arguably the most aggressive form of lung cancer, and while modern treatment strategies are initially highly effective, tumors quickly relapse, resistant to further therapies. We seek to decode the gene-regulatory processes that underlie SCLC's phenotypic response to treatment, and develop clinically viable strategies to reprogram those circuits, while keeping cells locked into drug-sensitive states. Our major driving questions are: How does SCLC heterogeneity contribute dynamic adaptation to treatment? What regulatory mechanisms govern this response, and how are they coordinated? How can these regulatory mechanisms be manipulated to drive SCLC cells toward therapeutically desirable phenotypes? What molecular species can be targeted therapeutically to affect these mechanisms? To this end we will integrate bioinformatics, mathematical modeling, and experimentation to provide a systems-level understanding of SCLC drug response and optimal treatment strategies.",U01,"Drug Resistance/Sensitivity, Heterogeneity",Vanderbilt University,Vanderbilt,"Vito Quaranta, Carlos Federico Lopez",CSBC,6/9/17,5/31/23,https://reporter.nih.gov/search/n6PQQXEEv0KcFyrkaLiKcA/projects,5,,https://www.synapse.org/#!Team:3471106,https://www.synapse.org/#!Synapse:syn9775651,628173b0-a531-49e8-a8ed-89a3024f50ef,syn53259587
GrantView,CA215848,Model-based Prediction of Redox-Modulated Responses to Cancer Treatments,CA215848,"The goal of our U01 project is to advance precision medicine through consideration of cancer redox metabolism when predicting patient-specific responses to therapies. While the arsenal of approaches to selectively killing cancer cells is increasing, the majority of treatments rely on redox alterations of tumor cells and their microenvironment through chemotherapy, radiation, or some combination thereof. Compared to other cancers, the treatment options available for Head and Neck Squamous Cell Cancer (HNSCC) patients are particularly limited with only one targeted therapy currently approved by FDA for treatment; therefore, there is a need for new therapeutic strategies and methods to enable systematic/predictive selection of patients for treatment with targeted agents.<br><br>Specifically, we hypothesize that the response to a new class of redox-based chemotherapeutics can be predicted and enhanced by identifying specific metabolic network features contributing to the NAD(P)+/NAD(P)H redox balance and overall levels associated with the specific mechanism of action. We will be investigating the NAD(P)H-driven responses to the quinone-based chemotherapeutics, beta-lapachone (β-Lap) and isobutyl-deoxynyboquinone (IB-DNQ) in laboratory models and clinical specimens of HNSCC. This project will require integration and expansion of our prior successful models of drug bioactivation networks and redox metabolic systems in a comprehensive systems-level approach to improve understanding and enhance prediction of phenotype-specific responses to chemotherapeutic strategies. Development and validation of predictive models of β-Lap or IB-DBQ lethality in HNSCC cell lines will rely upon novel genome-wide metabolomics approaches to identify key enzymatic contributors to NAD(P)H levels required for driving drug metabolism and DNA lesion repair. The predictive capabilities of our computational models will be enhanced by accounting for metabolic diversity across HNSCC tumors and RNAi manipulation of enzyme levels to extract predictive proteomic/metabolic signatures associated with quinone redox cycling. Finally, the model-based predictions of therapeutic outcomes will be tested with HNSCC clinical specimens via ex vivo assays and targeted metabolic profiling. We anticipate that our multi-disciplinary project – relying on a team of investigators in pharmacology, oncology, redox biology, mass spectrometry, and computational modeling – will identify metabolic regulatory features applicable to the treatment of other cancers by molecular or systemic chemotherapies.",U01,"Metabolism, Drug Resistance/Sensitivity","Georgia Institute of Technology, Indiana University, Wake Forest","GTech, IU, Wake Forest","Melissa Kemp, Cristina Furdui, David Boothman, Baran D. Sumer, Noelle Williams, Merecedes Porosnicu, Allen W. Tsang",CSBC,9/4/17,8/31/22,https://reporter.nih.gov/search/oXeuBodVv0SDkVOJ0iMnXA/projects,4,,https://www.synapse.org/#!Team:3471063,https://www.synapse.org/#!Synapse:syn17084080,2b7f723f-f427-454b-9135-2a2fd54d150f,syn53259587
