Component,Publication Grant Number,Publication Consortium Name,Publication Theme Name,Publication Doi,Publication Journal,Pubmed Id,Publication Title,Pubmed Url,Publication Year,Publication Keywords,Publication Authors,Publication Abstract,Publication Assay,Publication Tumor Type,Publication Tissue,Publication Dataset Alias,Publication Accessibility
PublicationView,CA209988,CSBC,"Microenvironment, Drug Resistance/Sensitivity, Heterogeneity",10.1038/s41467-023-39122-z,Nat Commun,37301933,Analysis and modeling of cancer drug responses using cell cycle phase-specific rate effects,https://pubmed.ncbi.nlm.nih.gov/37301933,2023,,"Sean M Gross, Farnaz Mohammadi, Crystal Sanchez-Aguila, Paulina J Zhan, Tiera A Liby, Mark A Dane, Aaron S Meyer, Laura M Heiser","Identifying effective therapeutic treatment strategies is a major challenge to improving outcomes for patients with breast cancer. To gain a comprehensive understanding of how clinically relevant anti-cancer agents modulate cell cycle progression, here we use genetically engineered breast cancer cell lines to track drug-induced changes in cell number and cell cycle phase to reveal drug-specific cell cycle effects that vary across time. We use a linear chain trick (LCT) computational model, which faithfully captures drug-induced dynamic responses, correctly infers drug effects, and reproduces influences on specific cell cycle phases. We use the LCT model to predict the effects of unseen drug combinations and confirm these in independent validation experiments. Our integrated experimental and modeling approach opens avenues to assess drug responses, predict effective drug combinations, and identify optimal drug sequencing strategies.",Mathematical Modeling,Pan-cancer,Not Applicable,syn51239112,Open Access
PublicationView,CA224013,PDMC,"Microenvironment, Heterogeneity",10.1053/j.gastro.2023.02.049,Gastroenterology,36907523,A TEAD2-Driven Endothelial-Like Program Shapes Basal-Like Differentiation and Metastasis of Pancreatic Cancer,https://pubmed.ncbi.nlm.nih.gov/36907523,2023,"Pancreatic cancer, Molecular Subtype, Enhancer Reprogramming","Hye-Been Yoo, Jin Woo Moon, Hwa-Ryeon Kim, Hee Seung Lee, Koji Miyabayashi, Chan Hee Park, Sabrina Ge, Amy Zhang, Yoo Keung Tae, Yujin Sub, Hyun-Woo Park, Heon Yung Gee, Faiyaz Notta, David A Tuveson, Seungmin Bang, Mi-Young Kim, Jae-Seok Roe","Background & aims: Pancreatic ductal adenocarcinoma (PDA), with its highly metastatic propensity, is one of the most lethal subtypes of pancreatic cancer. Although recent large-scale transcriptomic studies have demonstrated that heterogeneous gene expressions play an essential role in determining molecular phenotypes of PDA, biological cues for and consequences of distinct transcriptional programs remain unclear. Methods: We developed an experimental model that enforces the transition of PDA cells toward a basal-like subtype. We combined epigenome and transcriptome analyses with extensive in vitro and in vivo evaluations of tumorigenicity to demonstrate the validity of basal-like subtype differentiation in association with endothelial-like enhancer landscapes via TEA domain transcription factor 2 (TEAD2). Finally, we used loss-of-function experiments to investigate the importance of TEAD2 in regulating reprogrammed enhancer landscape and metastasis in basal-like PDA cells. Results: Aggressive characteristics of the basal-like subtype are faithfully recapitulated in vitro and in vivo, demonstrating the physiological relevance of our model. Further, we showed that basal-like subtype PDA cells acquire a TEAD2-dependent proangiogenic enhancer landscape. Genetic and pharmacologic inhibitions of TEAD2 in basal-like subtype PDA cells impair their proangiogenic phenotypes in vitro and cancer progression in vivo. Last, we identify CD109 as a critical TEAD2 downstream mediator that maintains constitutively activated JAK-STAT signaling in basal-like PDA cells and tumors. Conclusions: Our findings implicate a TEAD2-CD109-JAK/STAT axis in the basal-like differentiated pancreatic cancer cells and as a potential therapeutic vulnerability.","Cell Culture, Plasmid Construction, RT-PCR, ChIP-Seq, ATAC-Seq, RNA Sequencing",Pancreatic Ductal Adenocarcinoma,Pancreas,GSE202534,Open Access
PublicationView,CA224012,PDMC,"Drug Resistance/Sensitivity, Heterogeneity, Experimental Model Development",10.1038/s41467-023-38921-8,Nat Commun,37380658,Increased glucose availability sensitizes pancreatic cancer to chemotherapy,https://pubmed.ncbi.nlm.nih.gov/37380658,2023,,"Ali Vaziri-Gohar, Jonathan J Hue, Ata Abbas, Hallie J Graor, Omid Hajihassani, Mehrdad Zarei, George Titomihelakis, John Feczko, Moeez Rathore, Sylwia Chelstowska, Alexander W Loftus, Rui Wang, Mahsa Zarei, Maryam Goudarzi, Renliang Zhang, Belinda Willard, Li Zhang, Adam Kresak, Joseph E Willis, Gi-Ming Wang, Curtis Tatsuoka, Joseph M Salvino, Ilya Bederman, Henri Brunengraber, Costas A Lyssiotis, Jonathan R Brody, Jordan M Winter","Pancreatic Ductal Adenocarcinoma (PDAC) is highly resistant to chemotherapy. Effective alternative therapies have yet to emerge, as chemotherapy remains the best available systemic treatment. However, the discovery of safe and available adjuncts to enhance chemotherapeutic efficacy can still improve survival outcomes. We show that a hyperglycemic state substantially enhances the efficacy of conventional single- and multi-agent chemotherapy regimens against PDAC. Molecular analyses of tumors exposed to high glucose levels reveal that the expression of GCLC (glutamate-cysteine ligase catalytic subunit), a key component of glutathione biosynthesis, is diminished, which in turn augments oxidative anti-tumor damage by chemotherapy. Inhibition of GCLC phenocopies the suppressive effect of forced hyperglycemia in mouse models of PDAC, while rescuing this pathway mitigates anti-tumor effects observed with chemotherapy and high glucose.","Cell Culture, CRISPR, RT-qPCR, RNA Sequencing, Immunohistochemistry Staining Method",Pancreatic Ductal Adenocarcinoma,Pancreas,GSE194369,Open Access
PublicationView,CA261842,PS-ON,Drug Resistance/Sensitivity,10.1158/1078-0432.ccr-22-1169,Clin Cancer Res,35833850,"A Phase I Trial of TB-403 in Relapsed Medulloblastoma, Neuroblastoma, Ewing Sarcoma, and Alveolar Rhabdomyosarcoma",https://pubmed.ncbi.nlm.nih.gov/35833850,2022,,"Giselle Saulnier-Sholler, Dan G Duda, Genevieve Bergendahl, David Ebb, Matija Snuderl, Theodore W Laetsch, Jennifer Michlitsch, Derek Hanson, Michael S Isakoff, Kevin Bielamowicz, Jacqueline M Kraveka, William Ferguson, Peter Carmeliet, A De Deene, Lore Gijsen, Rakesh K Jain","Purpose: Placental growth factor (PlGF) and its receptor neuropilin 1 are elevated in malignant embryonal tumors and mediate tumor progression by promoting cell proliferation, survival, and metastasis. TB-403 is a blocking monoclonal antibody against PlGF that inhibits tumor growth and increases survival in orthotopic medulloblastoma models. Patients and methods: We conducted a phase I, open-label, multicenter, dose-escalation study of TB-403 in pediatric subjects with relapsed or refractory cancers. The study involved four dose levels (20 mg/kg, 50 mg/kg, 100 mg/kg, 175 mg/kg) using a 3 + 3 dose-escalation scheme. Subjects received two doses of TB-403 (days 1 and 15) per cycle. After cycle 1, temozolomide or etoposide could be added. The primary objective was to determine the maximum tolerated dose (MTD) of TB-403 monotherapy during a dose-limiting toxicity assessment period. The secondary and exploratory objectives included efficacy, drug pharmacokinetics, and detection of pharmacodynamic biomarkers. Results: Fifteen subjects were treated in four dose levels. All subjects received two doses of TB-403 in cycle 1. Five serious treatment-emergent adverse events were reported in 3 subjects, but MTD was not reached. While no complete nor partial responses were observed, 7 of 11 relapsed subjects with medulloblastoma experienced stable disease, which persisted for more than 100 days in 4 of 7 subjects. Conclusions: TB-403 was safe and well tolerated at all dose levels. No MTD was reached. The results look encouraging and therefore warrant further evaluation of efficacy in pediatric subjects with medulloblastoma.",Clinical Study,"Medulloblastoma, Neuroblastoma, Ewing Sarcoma, Rhabdomyosarcoma",Not Applicable,Not Applicable,Open Access
PublicationView,CA227136,TEC,"Microenvironment, Drug Resistance/Sensitivity",10.1093/neuonc/noac090,Neuro Oncol,36322096,Novel intraoperative strategies for enhancing tumor control: Future directions,https://pubmed.ncbi.nlm.nih.gov/36322096,2022,"Glioma, Surgery, Glioblastoma, Ced, Imri","Alexander F Haddad, Manish K Aghi, Nicholas Butowski","Maximal safe surgical resection plays a key role in the care of patients with gliomas. A range of technologies have been developed to aid surgeons in distinguishing tumor from normal tissue, with the goal of increasing tumor resection and limiting postoperative neurological deficits. Technologies that are currently being investigated to aid in improving tumor control include intraoperative imaging modalities, fluorescent tumor makers, intraoperative cell and molecular profiling of tumors, improved microscopic imaging, intraoperative mapping, augmented and virtual reality, intraoperative drug and radiation delivery, and ablative technologies. In this review, we summarize the aforementioned advancements in neurosurgical oncology and implications for improving patient outcomes.",Confocal Microscopy,"Glioblastoma, Glioma",Brain,Not Applicable,Open Access
PublicationView,CA264583,CSBC,"Computational Model Development, Tumor-Immune",10.1016/j.cels.2023.03.008,Cell Syst,37164011,Deciphering tumor ecosystems at super resolution from spatial transcriptomics with TESLA,https://pubmed.ncbi.nlm.nih.gov/37164011,2023,"Tumor Microenvironment, Tumor-infiltrating Lymphocytes, Super-resolution, Tertiary Lymphoid Structures, Tumor Edge, Spatial Transcriptomics, Tumor Core","Jian Hu, Kyle Coleman, Daiwei Zhang, Edward B Lee, Humam Kadara, Linghua Wang, Mingyao Li","Cell populations in the tumor microenvironment (TME), including their abundance, composition, and spatial location, are critical determinants of patient response to therapy. Recent advances in spatial transcriptomics (ST) have enabled the comprehensive characterization of gene expression in the TME. However, popular ST platforms, such as Visium, only measure expression in low-resolution spots and have large tissue areas that are not covered by any spots, which limits their usefulness in studying the detailed structure of TME. Here, we present TESLA, a machine learning framework for tissue annotation with pixel-level resolution in ST. TESLA integrates histological information with gene expression to annotate heterogeneous immune and tumor cells directly on the histology image. TESLA further detects unique TME features such as tertiary lymphoid structures, which represents a promising avenue for understanding the spatial architecture of the TME. Although we mainly illustrated the applications in cancer, TESLA can also be applied to other diseases.","Imaging, Computational Tool",Pan-cancer,Not Applicable,"GSE175540, GSE72056, GSE144240",Open Access
PublicationView,CA210184,PS-ON,"Microenvironment, Metastasis, Metabolism",10.1038/s41467-023-39178-x,Nat Commun,37316535,Isolation of full-length IgG antibodies from combinatorial libraries expressed in the cytoplasm of Escherichia coli,https://pubmed.ncbi.nlm.nih.gov/37316535,2023,,"Michael-Paul Robinson, Jinjoo Jung, Natalia Lopez-Barbosa, Matthew Chang, Mingji Li, Thapakorn Jaroentomeechai, Emily C Cox, Xiaolu Zheng, Mehmet Berkmen, Matthew P DeLisa","Here we describe a facile and robust genetic selection for isolating full-length IgG antibodies from combinatorial libraries expressed in the cytoplasm of redox-engineered Escherichia coli cells. The method is based on the transport of a bifunctional substrate comprised of an antigen fused to chloramphenicol acetyltransferase, which allows positive selection of bacterial cells co-expressing cytoplasmic IgGs called cyclonals that specifically capture the chimeric antigen and sequester the antibiotic resistance marker in the cytoplasm. The utility of this approach is first demonstrated by isolating affinity-matured cyclonal variants that specifically bind their cognate antigen, the leucine zipper domain of a yeast transcriptional activator, with subnanomolar affinities, which represent a ~20-fold improvement over the parental IgG. We then use the genetic assay to discover antigen-specific cyclonals from a naïve human antibody repertoire, leading to the identification of lead IgG candidates with affinity and specificity for an influenza hemagglutinin-derived peptide antigen.","Plasmid Construction, ELISA",Not Applicable,Not Applicable,Not Applicable,Open Access
PublicationView,CA193461,PS-ON,"Heterogeneity, Microenvironment, Drug Resistance/Sensitivity, Evolution",10.1093/neuonc/noac253,Neuro Oncol,36402744,Phase I study of a novel glioblastoma radiation therapy schedule exploiting cell-state plasticity,https://pubmed.ncbi.nlm.nih.gov/36402744,2023,"Glioblastoma, Clinical Study, Radiation Oncology, Mathematical Modeling, Cell-state Plasticity","Jamie A Dean, Shyam K Tanguturi, Daniel Cagney, Kee-Young Shin, Gilbert Youssef, Ayal Aizer, Rifaquat Rahman, Lubna Hammoudeh, David Reardon, Eudocia Lee, Jorg Dietrich, Kaoru Tamura, Masaru Aoyagi, Lacey Wickersham, Patrick Y Wen, Paul Catalano, Daphne Haas-Kogan, Brian M Alexander, Franziska Michor","Background: Glioblastomas comprise heterogeneous cell populations with dynamic, bidirectional plasticity between treatment-resistant stem-like and treatment-sensitive differentiated states, with treatment influencing this process. However, current treatment protocols do not account for this plasticity. Previously, we generated a mathematical model based on preclinical experiments to describe this process and optimize a radiation therapy fractionation schedule that substantially increased survival relative to standard fractionation in a murine glioblastoma model. Methods: We developed statistical models to predict the survival benefit of interventions to glioblastoma patients based on the corresponding survival benefit in the mouse model used in our preclinical study. We applied our mathematical model of glioblastoma radiation response to optimize a radiation therapy fractionation schedule for patients undergoing re-irradiation for glioblastoma and developed a first-in-human trial (NCT03557372) to assess the feasibility and safety of administering our schedule. Results: Our statistical modeling predicted that the hazard ratio when comparing our novel radiation schedule with a standard schedule would be 0.74. Our mathematical modeling suggested that a practical, near-optimal schedule for re-irradiation of recurrent glioblastoma patients was 3.96 Gy × 7 (1 fraction/day) followed by 1.0 Gy × 9 (3 fractions/day). Our optimized schedule was successfully administered to 14/14 (100%) patients. Conclusions: A novel radiation therapy schedule based on mathematical modeling of cell-state plasticity is feasible and safe to administer to glioblastoma patients.",Mathematical Modeling,Glioblastoma,Brain,Not Applicable,Open Access
PublicationView,"CA253553, CA210181","CSBC, PS-ON","Microenvironment, Heterogeneity, Tumor-Immune, Metabolism",10.1038/s41419-023-05834-9,Cell Death Dis,37169743,Interferon-gamma is quintessential for NOS2 and COX2 expression in ER<sup>-</sup> breast tumors that lead to poor outcome,https://pubmed.ncbi.nlm.nih.gov/37169743,2023,,"Robert Y S Cheng, Lisa A Ridnour, Adelaide L Wink, Ana L Gonzalez, Elise L Femino, Helene Rittscher, Veena Somasundaram, William F Heinz, Leandro Coutinho, M Cristina Rangel, Elijah F Edmondson, Donna Butcher, Robert J Kinders, Xiaoxian Li, Stephen T C Wong, Daniel W McVicar, Stephen K Anderson, Milind Pore, Stephen M Hewitt, Timothy R Billiar, Sharon A Glynn, Jenny C Chang, Stephen J Lockett, Stefan Ambs, David A Wink","A strong correlation between NOS2 and COX2 tumor expression and poor clinical outcomes in ER breast cancer has been established. However, the mechanisms of tumor induction of these enzymes are unclear. Analysis of The Cancer Genome Atlas (TCGA) revealed correlations between NOS2 and COX2 expression and Th1 cytokines. Herein, single-cell RNAseq analysis of TNBC cells shows potent NOS2 and COX2 induction by IFNγ combined with IL1β or TNFα. Given that IFNγ is secreted by cytolytic lymphocytes, which improve clinical outcomes, this role of IFNγ presents a dichotomy. To explore this conundrum, tumor NOS2, COX2, and CD8<sup>+</sup> T cells were spatially analyzed in aggressive ER-, TNBC, and HER2 + breast tumors. High expression and clustering of NOS2-expressing tumor cells occurred at the tumor/stroma interface in the presence of stroma-restricted CD8<sup>+</sup> T cells. High expression and clustering of COX2-expressing tumor cells extended into immune desert regions in the tumor core where CD8<sup>+</sup> T cell penetration was limited or absent. Moreover, high NOS2-expressing tumor cells were proximal to areas with increased satellitosis, suggestive of cell clusters with a higher metastatic potential. Further in vitro experiments revealed that IFNγ + IL1β/TNFα increased the elongation and migration of treated tumor cells. This spatial analysis of the tumor microenvironment provides important insight into distinct neighborhoods where stroma-restricted CD8<sup>+</sup> T cells exist proximal to NOS2-expressing tumor niches that could have increased metastatic potential.","Cell Culture, Scratch Assay, Invasion Assay, Single Cell RNA-Sequencing, Immunohistochemistry Staining Method","Breast Adenocarcinoma, Triple-Negative Breast Carcinoma",Breast,Not Applicable,Open Access
PublicationView,CA217376,CSBC,"Heterogeneity, Epigenetics, Microenvironment, Evolution",10.1038/s41467-023-37879-x,Nat Commun,37100774,Bridging clinic and wildlife care with AI-powered pan-species computational pathology,https://pubmed.ncbi.nlm.nih.gov/37100774,2023,,"Khalid AbdulJabbar, Simon P Castillo, Katherine Hughes, Hannah Davidson, Amy M Boddy, Lisa M Abegglen, Lucia Minoli, Selina Iussich, Elizabeth P Murchison, Trevor A Graham, Simon Spiro, Carlo C Maley, Luca Aresu, Chiara Palmieri, Yinyin Yuan","Cancers occur across species. Understanding what is consistent and varies across species can provide new insights into cancer initiation and evolution, with significant implications for animal welfare and wildlife conservation. We build a pan-species cancer digital pathology atlas (panspecies.ai) and conduct a pan-species study of computational comparative pathology using a supervised convolutional neural network algorithm trained on human samples. The artificial intelligence algorithm achieves high accuracy in measuring immune response through single-cell classification for two transmissible cancers (canine transmissible venereal tumour, 0.94; Tasmanian devil facial tumour disease, 0.88). In 18 other vertebrate species (mammalia = 11, reptilia = 4, aves = 2, and amphibia = 1), accuracy (range 0.57-0.94) is influenced by cell morphological similarity preserved across different taxonomic groups, tumour sites, and variations in the immune compartment. Furthermore, a spatial immune score based on artificial intelligence and spatial statistics is associated with prognosis in canine melanoma and prostate tumours. A metric, named morphospace overlap, is developed to guide veterinary pathologists towards rational deployment of this technology on new samples. This study provides the foundation and guidelines for transferring artificial intelligence technologies to veterinary pathology based on understanding of morphological conservation, which could vastly accelerate developments in veterinary medicine and comparative oncology.",Computational Modeling,Pan-cancer,Not Applicable,Not Applicable,Open Access
PublicationView,CA261717,MetNet,"Microenvironment, Metastasis, Tumor-Immune",10.1530/erc-22-0015,Endocr Relat Cancer,36165930,Exploratory genomic analysis of high-grade neuroendocrine neoplasms across diverse primary sites,https://pubmed.ncbi.nlm.nih.gov/36165930,2022,"Sequencing, APC, Genomics, CDK4, Cell cycling, Rb1, Neuroendocrine Carcinoma, Neuroendocrine Tumor, Tp53, High Grade, Cdkn2a, Neuroendocrine Neoplasm, Grade 3, Tumor Mutation Burden","Thomas Yang Sun, Lan Zhao, Paul Van Hummelen, Brock Martin, Kathleen Hornbacker, HoJoon Lee, Li C Xia, Sukhmani K Padda, Hanlee P Ji, Pamela Kunz","High-grade (grade 3) neuroendocrine neoplasms (G3 NENs) have poor survival outcomes. From a clinical standpoint, G3 NENs are usually grouped regardless of primary site and treated similarly. Little is known regarding the underlying genomics of these rare tumors, especially when compared across different primary sites. We performed whole transcriptome (n = 46), whole exome (n = 40), and gene copy number (n = 43) sequencing on G3 NEN formalin-fixed, paraffin-embedded samples from diverse organs (in total, 17 were lung, 16 were gastroenteropancreatic, and 13 other). G3 NENs despite arising from diverse primary sites did not have gene expression profiles that were easily segregated by organ of origin. Across all G3 NENs, TP53, APC, RB1, and CDKN2A were significantly mutated. The CDK4/6 cell cycling pathway was mutated in 95% of cases, with upregulation of oncogenes within this pathway. G3 NENs had high tumor mutation burden (mean 7.09 mutations/MB), with 20% having >10 mutations/MB. Two somatic copy number alterations were significantly associated with worse prognosis across tissue types: focal deletion 22q13.31 (HR, 7.82; P = 0.034) and arm amplification 19q (HR, 4.82; P = 0.032). This study is among the most diverse genomic study of high-grade neuroendocrine neoplasms. We uncovered genomic features previously unrecognized for this rapidly fatal and rare cancer type that could have potential prognostic and therapeutic implications.","Whole Exome Sequencing, Whole Genome Sequencing, RNA Sequencing, Immunohistochemistry Staining Method", Neuroendocrine Neoplasm,Not Applicable,Not Applicable,Open Access
PublicationView,CA209988,CSBC,"Microenvironment, Drug Resistance/Sensitivity, Heterogeneity",10.1038/s41467-023-39729-2,Nat Commun,37414767,MOBILE pipeline enables identification of context-specific networks and regulatory mechanisms,https://pubmed.ncbi.nlm.nih.gov/37414767,2023,,"Cemal Erdem, Sean M Gross, Laura M Heiser, Marc R Birtwistle","Robust identification of context-specific network features that control cellular phenotypes remains a challenge. We here introduce MOBILE (Multi-Omics Binary Integration via Lasso Ensembles) to nominate molecular features associated with cellular phenotypes and pathways. First, we use MOBILE to nominate mechanisms of interferon-γ (IFNγ) regulated PD-L1 expression. Our analyses suggest that IFNγ-controlled PD-L1 expression involves BST2, CLIC2, FAM83D, ACSL5, and HIST2H2AA3 genes, which were supported by prior literature. We also compare networks activated by related family members transforming growth factor-beta 1 (TGFβ1) and bone morphogenetic protein 2 (BMP2) and find that differences in ligand-induced changes in cell size and clustering properties are related to differences in laminin/collagen pathway activity. Finally, we demonstrate the broad applicability and adaptability of MOBILE by analyzing publicly available molecular datasets to investigate breast cancer subtype specific networks. Given the ever-growing availability of multi-omics datasets, we envision that MOBILE will be broadly useful for identification of context-specific molecular features and pathways.","Computational Tool, Computational Modeling",Pan-cancer,Not Applicable,syn21577710,Open Access
PublicationView,CA253540,CSBC,"Drug Resistance/Sensitivity, Heterogeneity",10.1038/s41598-023-37238-2,Sci Rep,37369672,Comparing mechanism-based and machine learning models for predicting the effects of glucose accessibility on tumor cell proliferation,https://pubmed.ncbi.nlm.nih.gov/37369672,2023,,"Jianchen Yang, Jack Virostko, Junyan Liu, Angela M Jarrett, David A Hormuth, Thomas E Yankeelov","Glucose plays a central role in tumor metabolism and development and is a target for novel therapeutics. To characterize the response of cancer cells to blockade of glucose uptake, we collected time-resolved microscopy data to track the growth of MDA-MB-231 breast cancer cells. We then developed a mechanism-based, mathematical model to predict how a glucose transporter (GLUT1) inhibitor (Cytochalasin B) influences the growth of the MDA-MB-231 cells by limiting access to glucose. The model includes a parameter describing dose dependent inhibition to quantify both the total glucose level in the system and the glucose level accessible to the tumor cells. Four common machine learning models were also used to predict tumor cell growth. Both the mechanism-based and machine learning models were trained and validated, and the prediction error was evaluated by the coefficient of determination (R<sup>2</sup>). The random forest model provided the highest accuracy predicting cell dynamics (R<sup>2</sup> = 0.92), followed by the decision tree (R<sup>2</sup> = 0.89), k-nearest-neighbor regression (R<sup>2</sup> = 0.84), mechanism-based (R<sup>2</sup> = 0.77), and linear regression model (R<sup>2</sup> = 0.69). Thus, the mechanism-based model has a predictive capability comparable to machine learning models with the added benefit of elucidating biological mechanisms.","Cell Culture, Imaging, Mathematical Modeling, Computational Modeling","Breast Adenocarcinoma, Triple-Negative Breast Carcinoma",Breast,Not Applicable,Open Access
PublicationView,CA210180,PS-ON,"Microenvironment, Evolution, Heterogeneity",10.1038/s42003-023-05035-2,Commun Biol,37340056,Blood-brain barrier disruption defines the extracellular metabolome of live human high-grade gliomas,https://pubmed.ncbi.nlm.nih.gov/37340056,2023,,"Cecile Riviere-Cazaux, Lucas P Carlstrom, Karishma Rajani, Amanda Munoz-Casabella, Masum Rahman, Ali Gharibi-Loron, Desmond A Brown, Kai J Miller, Jaclyn J White, Benjamin T Himes, Ignacio Jusue-Torres, Samar Ikram, Seth C Ransom, Renee Hirte, Ju-Hee Oh, William F Elmquist, Jann N Sarkaria, Rachael A Vaubel, Moses Rodriguez, Arthur E Warrington, Sani H Kizilbash, Terry C Burns","The extracellular microenvironment modulates glioma behaviour. It remains unknown if blood-brain barrier disruption merely reflects or functionally supports glioma aggressiveness. We utilised intra-operative microdialysis to sample the extracellular metabolome of radiographically diverse regions of gliomas and evaluated the global extracellular metabolome via ultra-performance liquid chromatography tandem mass spectrometry. Among 162 named metabolites, guanidinoacetate (GAA) was 126.32x higher in enhancing tumour than in adjacent brain. 48 additional metabolites were 2.05-10.18x more abundant in enhancing tumour than brain. With exception of GAA, and 2-hydroxyglutarate in IDH-mutant gliomas, differences between non-enhancing tumour and brain microdialysate were modest and less consistent. The enhancing, but not the non-enhancing glioma metabolome, was significantly enriched for plasma-associated metabolites largely comprising amino acids and carnitines. Our findings suggest that metabolite diffusion through a disrupted blood-brain barrier may largely define the enhancing extracellular glioma metabolome. Future studies will determine how the altered extracellular metabolome impacts glioma behaviour.","Liquid Chromatography Mass Spectrometry, Gene Set Enrichment Analysis","Glioblastoma, Glioma",Brain,Not Applicable,Open Access
PublicationView,CA214369,TEC,"Microenvironment, Drug Resistance/Sensitivity, Tumor-Immune",10.1038/s41467-023-39330-7,Nat Commun,37322053,Adoptive T cell transfer and host antigen-presenting cell recruitment with cryogel scaffolds promotes long-term protection against solid tumors,https://pubmed.ncbi.nlm.nih.gov/37322053,2023,,"Kwasi Adu-Berchie, Joshua M Brockman, Yutong Liu, Tania W To, David K Y Zhang, Alexander J Najibi, Yoav Binenbaum, Alexander Stafford, Nikolaos Dimitrakakis, Miguel C Sobral, Maxence O Dellacherie, David J Mooney","Although adoptive T cell therapy provides the T cell pool needed for immediate tumor debulking, the infused T cells generally have a narrow repertoire for antigen recognition and limited ability for long-term protection. Here, we present a hydrogel that locally delivers adoptively transferred T cells to the tumor site while recruiting and activating host antigen-presenting cells with GMCSF or FLT3L and CpG, respectively. T cells alone loaded into these localized cell depots provided significantly better control of subcutaneous B16-F10 tumors than T cells delivered through direct peritumoral injection or intravenous infusion. T cell delivery combined with biomaterial-driven accumulation and activation of host immune cells prolonged the activation of the delivered T cells, minimized host T cell exhaustion, and enabled long-term tumor control. These findings highlight how this integrated approach provide both immediate tumor debulking and long-term protection against solid tumors, including against tumor antigen escape.","Flow Cytometry, Hematoxylin and Eosin Staining Method
",Pan-cancer,Not Applicable,Not Applicable,Open Access
PublicationView,CA268069,CCBIR,"Platform Development, Microenvironment, Tumor-Immune, Immunotherapy",10.1117/1.jbo.28.6.066502,J Biomed Opt,37351197,Light-sheet autofluorescence lifetime imaging with a single-photon avalanche diode array,https://pubmed.ncbi.nlm.nih.gov/37351197,2023,"Autofluorescence, Fluorescence Lifetime Imaging Microscopy, Single-photon Avalanche Diode, Light-sheet Microscopy, Nicotinamide Adenine Dinucleotide (Phosphate)","Kayvan Samimi, Danielle E Desa, Wei Lin, Kurt Weiss, Joe Li, Jan Huisken, Veronika Miskolci, Anna Huttenlocher, Jenu V Chacko, Andreas Velten, Jeremy D Rogers, Kevin W Eliceiri, Melissa C Skala","Significance: Fluorescence lifetime imaging microscopy (FLIM) of the metabolic co-enzyme nicotinamide adenine dinucleotide (phosphate) [NAD(P)H] is a popular method to monitor single-cell metabolism within unperturbed, living 3D systems. However, FLIM of NAD(P)H has not been performed in a light-sheet geometry, which is advantageous for rapid imaging of cells within live 3D samples. Aim: We aim to design, validate, and demonstrate a proof-of-concept light-sheet system for NAD(P)H FLIM. Approach: A single-photon avalanche diode camera was integrated into a light-sheet microscope to achieve optical sectioning and limit out-of-focus contributions for NAD(P)H FLIM of single cells. Results: An NAD(P)H light-sheet FLIM system was built and validated with fluorescence lifetime standards and with time-course imaging of metabolic perturbations in pancreas cancer cells with 10 s integration times. NAD(P)H light-sheet FLIM <i>in vivo</i> was demonstrated with live neutrophil imaging in a larval zebrafish tail wound also with 10 s integration times. Finally, the theoretical and practical imaging speeds for NAD(P)H FLIM were compared across laser scanning and light-sheet geometries, indicating a 30× to 6× acquisition speed advantage for the light sheet compared to the laser scanning geometry. Conclusions: FLIM of NAD(P)H is feasible in a light-sheet geometry and is attractive for 3D live cell imaging applications, such as monitoring immune cell metabolism and migration within an organism.",Fluorescence Lifetime Imaging Microscopy,Pancreatic Carcinoma,Pancreas,Not Applicable,Open Access
