Component,Publication Grant Number,Publication Doi,Publication Journal,Pubmed Id,Pubmed Url,Publication Title,Publication Year,Publication Keywords,Publication Authors,Publication Abstract,Publication Assay,Publication Tumor Type,Publication Tissue,Publication Dataset Alias,Publication Accessibility,Publication Tumor Type.1,tool,Unnamed: 19,PublicationView_id
PublicationView,,10.1158/1078-0432.ccr-23-1439,Clin Cancer Res,37581614,https://pubmed.ncbi.nlm.nih.gov/37581614,SPOP mutations target STING1 signaling in prostate cancer and create therapeutic vulnerabilities to PARP inhibitor-induced growth suppression,2023,,"Chuandong Geng, Man-Chao Zhang, Ganiraju C Manyam, Jody V Vykoukal, Johannes F Fahrmann, Shan Peng, Cheng Wu, Sanghee Park, Shakuntala Kondraganti, Daoqi Wang, Brian D Robinson, Massimo Loda, Christopher E Barbieri, Timothy A Yap, Paul G Corn, Samir Hanash, Bradley M Broom, Patrick G Pilie, Timothy C Thompson","Purpose: Speckle-type POZ protein (SPOP) is important in DNA damage response (DDR) and maintenance of genomic stability. Somatic heterozygous missense mutations in the SPOP1 substrate-binding cleft are found in up to 15% of prostate cancers. While mutations in SPOP predict for benefit from androgen receptor signaling inhibition (ARSi) therapy, outcomes for patients with SPOP-mutant (SPOPmut) prostate cancer are heterogeneous and targeted treatments for SPOPmut castrate-resistant prostate cancer (CRPC) are lacking. Experimental design: Using in silico genomic and transcriptomic tumor data, proteomics analysis and genetically modified cell line models we demonstrate mechanistic links between SPOP mutations, STING signaling alterations and PARP inhibitor vulnerabilities. Results: We demonstrate that SPOP mutations are associated with upregulation of a 29-gene non-canonical (NC) STING1 (NC-STING) signature in a subset of SPOPmut, treatment-refractory CRPC patients. We show in preclinical CRPC models that SPOP targets and destabilizes STING protein, and prostate cancer Ã∂ associated SPOP mutations result in upregulated NC-STING-NF-Œ∫B signaling and macrophage- and tumor microenvironment (TME)-facilitated reprogramming, leading to tumor cell growth. Importantly, we provide in vitro and in vivo mechanism-based evidence that PARP inhibitor (PARPi) treatment results in a shift from immunosuppressive NC-STING-NF-Œ∫B signaling to anti-tumor, canonical cGAS-STING-IFN-Œ≤ signaling in SPOPmut CRPC and results in enhanced tumor growth inhibition. Conclusions: We provide evidence that SPOP is critical in regulating immunosuppressive versus anti-tumor activity downstream of DNA damage-induced STING activation in prostate cancer. PARPi treatment of SPOPmut CRPC alters this NC-STING signaling toward canonical, anti-tumor cGAS-STING-IFN-Œ≤ signaling, highlighting a novel biomarker-informed treatment strategy for prostate cancer.",Pending Annotation,Pending Annotation,Pending Annotation,,Restricted Access,,,,37581614
PublicationView,CA193417,10.1038/s41467-018-02906-9,Nat Commun,29386514,https://pubmed.ncbi.nlm.nih.gov/29386514,Control of cell morphology and differentiation by substrates with independently tunable elasticity and viscous dissipation,2018,,"Elisabeth E Charrier, Katarzyna Pogoda, Rebecca G Wells, Paul A Janmey","The mechanical properties of extracellular matrices can control the function of cells. Studies of cellular responses to biomimetic soft materials have been largely restricted to hydrogels and elastomers that have stiffness values independent of time and extent of deformation, so the substrate stiffness can be unambiguously related to its effect on cells. Real tissues, however, often have loss moduli that are 10 to 20% of their elastic moduli and behave as viscoelastic solids. The response of cells to a time-dependent viscous loss is largely uncharacterized because appropriate viscoelastic materials are lacking for quantitative studies. Here we report the synthesis of soft viscoelastic solids in which the elastic and viscous moduli can be independently tuned to produce gels with viscoelastic properties that closely resemble those of soft tissues. Systematic alteration of the hydrogel viscosity demonstrates the time dependence of cellular mechanosensing and the influence of viscous dissipation on cell phenotype.","Atomic Force Microscopy, Cell Culture, Spectroscopy, Immunofluorescent Staining Method",Pan-cancer,Not Applicable,Not Applicable,Open Access,,,,29386514
PublicationView,CA193461,10.1038/s42003-018-0160-1,Commun Biol,30272027,https://pubmed.ncbi.nlm.nih.gov/30272027,Fitness variation in isogenic populations leads to a novel evolutionary mechanism for crossing fitness valleys,2018,,"Debra Van Egeren, Thomas Madsen, Franziska Michor","Individuals in a population often have different fitnesses even when they have identical genotypes, but the effect of this variation on the evolution of a population through complicated fitness landscapes is unknown. Here, we investigate how populations with non-genetic fitness variation cross fitness valleys, common barriers to adaptation in rugged fitness landscapes in which a population must pass through a deleterious intermediate to arrive at a final advantageous stage. We develop a stochastic computational model describing the dynamics of an asexually reproducing population crossing a fitness valley, in which individuals of the same evolutionary stage can have variable fitnesses. We find that fitness variation that persists over multiple generations increases the rate of valley crossing through a novel evolutionary mechanism different from previously characterized mechanisms such as stochastic tunneling. By reducing the strength of selection against deleterious intermediates, persistent fitness variation allows for faster adaptation through rugged fitness landscapes.",Computational Modeling,Pan-cancer,Not Applicable,Not Applicable,Open Access,,,,30272027
PublicationView,CA210173,10.1038/s41523-021-00326-5,NPJ Breast Cancer,34521857,https://pubmed.ncbi.nlm.nih.gov/34521857,"A common goal to CARE: Cancer Advocates, Researchers, and Clinicians Explore current treatments and clinical trials for breast cancer brain metastases",2021,,"Natalie S Joe, Christine Hodgdon, Lianne Kraemer, Kristin J Redmond, Vered Stearns, Daniele M Gilkes","Breast cancer is the most commonly diagnosed cancer in women worldwide. Approximately one-tenth of all patients with advanced breast cancer develop brain metastases resulting in an overall survival rate of fewer than 2 years. The challenges lie in developing new approaches to treat, monitor, and prevent breast cancer brain metastasis (BCBM). This review will provide an overview of BCBM from the integrated perspective of clinicians, researchers, and patient advocates. We will summarize the current management of BCBM, including diagnosis, treatment, and monitoring. We will highlight ongoing translational research for BCBM, including clinical trials and improved detection methods that can become the mainstay for BCBM treatment if they demonstrate efficacy. We will discuss preclinical BCBM research that focuses on the intrinsic properties of breast cancer cells and the influence of the brain microenvironment. Finally, we will spotlight emerging studies and future research needs to improve survival outcomes and preserve the quality of life for patients with BCBM.","Immunotherapy, Clinical Trial, Imaging","Breast Neoplasm, Brain Neoplasm",Not Applicable,Not Applicable,Open Access,,,,34521857
PublicationView,CA210180,10.1021/jasms.2c00254,J Am Soc Mass Spectrom,36625762,https://pubmed.ncbi.nlm.nih.gov/36625762,Deep Learning on Multimodal Chemical and Whole Slide Imaging Data for Predicting Prostate Cancer Directly from Tissue Images,2023,,"Md Inzamam Ul Haque, Debangshu Mukherjee, Sylwia A Stopka, Nathalie Y R Agar, Jacob Hinkle, Olga S Ovchinnikova","Prostate cancer is one of the most common cancers globally and is the second most common cancer in the male population in the US. Here we develop a study based on correlating the hematoxylin and eosin (H&E)-stained biopsy data with MALDI mass-spectrometric imaging data of the corresponding tissue to determine the cancerous regions and their unique chemical signatures and variations of the predicted regions with original pathological annotations. We obtain features from high-resolution optical micrographs of whole slide H&E stained data through deep learning and spatially register them with mass spectrometry imaging (MSI) data to correlate the chemical signature with the tissue anatomy of the data. We then use the learned correlation to predict prostate cancer from observed H&E images using trained coregistered MSI data. This multimodal approach can predict cancerous regions with ∼80% accuracy, which indicates a correlation between optical H&E features and chemical information found in MSI. We show that such paired multimodal data can be used for training feature extraction networks on H&E data which bypasses the need to acquire expensive MSI data and eliminates the need for manual annotation saving valuable time. Two chemical biomarkers were also found to be predicting the ground truth cancerous regions. This study shows promise in generating improved patient treatment trajectories by predicting prostate cancer directly from readily available H&E-stained biopsy images aided by coregistered MSI data.","Deep Learning, Hematoxylin and Eosin Staining Method, MALDI-TOF Mass Spectrometry",Prostate Neoplasm,Prostate Gland,Not Applicable,Open Access,,,,36625762
PublicationView,CA217378,10.3390/ijms24087008,Int J Mol Sci,37108170,https://pubmed.ncbi.nlm.nih.gov/37108170,"A Low-Cost Modular Imaging System for Rapid, Multiplexed Immunofluorescence Detection in Clinical Tissues",2023,"Immunofluorescence, Cutaneous T-cell Lymphoma, Multiplex Fluorescence Imaging, In Situ Protein Detection, Tumor Marker Profiling","Joshua Gu, Hannah Jian, Christine Wei, Jessica Shiu, Anand Ganesan, Weian Zhao, Per Niklas Hedde","To image 4-plex immunofluorescence-stained tissue samples at a low cost with cellular level resolution and sensitivity and dynamic range required to detect lowly and highly abundant targets, here we describe a robust, inexpensive (<$9000), 3D printable portable imaging device (Tissue Imager). The Tissue Imager can immediately be deployed on benchtops for in situ protein detection in tissue samples. Applications for this device are broad, ranging from answering basic biological questions to clinical pathology, where immunofluorescence can detect a larger number of markers than the standard H&E or chromogenic immunohistochemistry (CIH) staining, while the low cost also allows usage in classrooms. After characterizing our platform's specificity and sensitivity, we demonstrate imaging of a 4-plex immunology panel in human cutaneous T-cell lymphoma (CTCL) formalin-fixed paraffin-embedded (FFPE) tissue samples. From those images, positive cells were detected using CellProfiler, a popular open-source software package, for tumor marker profiling. We achieved a performance on par with commercial epifluorescence microscopes that are >10 times more expensive than our Tissue Imager. This device enables rapid immunofluorescence detection in tissue sections at a low cost for scientists and clinicians and can provide students with a hands-on experience to understand engineering and instrumentation. We note that for using the Tissue Imager as a medical device in clinical settings, a comprehensive review and approval processes would be required.",Multiplexed Immunofluorescence,Cutaneous T Cell Lymphoma,Skin,Not Applicable,Open Access,,,,37108170
PublicationView,CA268084,10.1038/s41551-023-01053-x,Nat Biomed Eng,37308586,https://pubmed.ncbi.nlm.nih.gov/37308586,Chromatin reprogramming and bone regeneration in vitro and in vivo via the microtopography-induced constriction of cell nuclei,2023,,"Xinlong Wang, Vasundhara Agrawal, Cody L Dunton, Yugang Liu, Ranya K A Virk, Priyam A Patel, Lucas Carter, Emily M Pujadas, Yue Li, Surbhi Jain, Hao Wang, Na Ni, Hsiu-Ming Tsai, Nancy Rivera-Bolanos, Jane Frederick, Eric Roth, Reiner Bleher, Chongwen Duan, Panagiotis Ntziachristos, Tong Chuan He, Russell R Reid, Bin Jiang, Hariharan Subramanian, Vadim Backman, Guillermo A Ameer","Topographical cues on cells can, through contact guidance, alter cellular plasticity and accelerate the regeneration of cultured tissue. Here we show how changes in the nuclear and cellular morphologies of human mesenchymal stromal cells induced by micropillar patterns via contact guidance influence the conformation of the cells' chromatin and their osteogenic differentiation in vitro and in vivo. The micropillars impacted nuclear architecture, lamin A/C multimerization and 3D chromatin conformation, and the ensuing transcriptional reprogramming enhanced the cells' responsiveness to osteogenic differentiation factors and decreased their plasticity and off-target differentiation. In mice with critical-size cranial defects, implants with micropillar patterns inducing nuclear constriction altered the cells' chromatin conformation and enhanced bone regeneration without the need for exogenous signalling molecules. Our findings suggest that medical device topographies could be designed to facilitate bone regeneration via chromatin reprogramming.",Pending Annotation,Pending Annotation,Pending Annotation,Pending Annotation,Restricted Access,,,,37308586
PublicationView,CA217450,10.1136/jitc-2023-006793,J Immunother Cancer,37349128,https://pubmed.ncbi.nlm.nih.gov/37349128,Challenges in the implementation of ultrasensitive liquid biopsy approaches in precision oncology,2023,"Biomarkers, Tumor","Aakash Desai, Christine M Lovly",No abstract available.,"Immunotherapy, Targeted Therapy Agent",Pan-cancer,Not Applicable,Not Applicable,Open Access,,,,37349128
PublicationView,CA217376,10.1093/g3journal/jkad177,G3 (Bethesda),37552705,https://pubmed.ncbi.nlm.nih.gov/37552705,Genome Report: chromosome-scale genome assembly of the African spiny mouse (Acomys cahirinus),2023,"Genome Assembly, Nanopore Sequencing, Spiny Mouse, Acomys Cahirinus, Regenerative Wound Healing","Elizabeth Dong Nguyen, Vahid Nikoonejad Fard, Bernard Y Kim, Sarah Collins, Miranda Galey, Branden R Nelson, Paul Wakenight, Simone M Gable, Aaron McKenna, Theo K Bammler, Jim MacDonald, Daryl M Okamura, Jay Shendure, David R Beier, Jan Marino Ramirez, Mark W Majesky, Kathleen J Millen, Marc Tollis, Danny E Miller","There is increasing interest in the African spiny mouse (Acomys cahirinus) as a model organism because of its ability for regeneration of tissue after injury in skin, muscle, and internal organs such as the kidneys. A high-quality reference genome is needed to better understand these regenerative properties at the molecular level. Here, we present an improved reference genome for A. cahirinus generated from long Nanopore sequencing reads. We confirm the quality of our annotations using RNA sequencing data from 4 different tissues. Our genome is of higher contiguity and quality than previously reported genomes from this species and will facilitate ongoing efforts to better understand the regenerative properties of this organism.","Nanopore Sequencing, RNA Sequencing",Pan-cancer,Not Applicable,PRJNA935753,Open Access,,,,37552705
PublicationView,CA232517,10.1242/jcs.261255,J Cell Sci,37555624,https://pubmed.ncbi.nlm.nih.gov/37555624,Matrisome AnalyzeR - a suite of tools to annotate and quantify ECM molecules in big datasets across organisms,2023,"Extracellular matrix, Bioinformatics, Omics, Data Annotation, Model Organisms","Petar B Petrov, James M Considine, Valerio Izzi, Alexandra Naba","The extracellular matrix (ECM) is a complex meshwork of proteins that forms the scaffold of all tissues in multicellular organisms. It plays crucial roles in all aspects of life - from orchestrating cell migration during development, to supporting tissue repair. It also plays critical roles in the etiology or progression of diseases. To study this compartment, we have previously defined the compendium of all genes encoding ECM and ECM-associated proteins for multiple organisms. We termed this compendium the 'matrisome' and further classified matrisome components into different structural or functional categories. This nomenclature is now largely adopted by the research community to annotate '-omics' datasets and has contributed to advance both fundamental and translational ECM research. Here, we report the development of Matrisome AnalyzeR, a suite of tools including a web-based application and an R package. The web application can be used by anyone interested in annotating, classifying and tabulating matrisome molecules in large datasets without requiring programming knowledge. The companion R package is available to more experienced users, interested in processing larger datasets or in additional data visualization options.",Computational Tool,Breast Neoplasm,Not Applicable,Not Applicable,Open Access,,,,37555624
PublicationView,CA214282,10.1128/jvi.00658-23,J Virol,37656959,https://pubmed.ncbi.nlm.nih.gov/37656959,Virus hijacking of host epigenetic machinery to impair immune response,2023,"DNA methylation, Virus, Epigenetic, Immune Evasion, Host-virus Interaction, Histones Ptms","Maëlle Locatelli, Suzanne Faure-Dupuy","Epigenetic modifications, such as DNA hypermethylation, histone acetylation/methylation, or nucleosome positioning, result in differential gene expression. These modifications can have an impact on various pathways, including host antiviral immune responses. In this review, we summarize the current understanding of epigenetic modifications induced by viruses to counteract host antiviral immune responses, which are crucial for establishing and maintaining infection of viruses. Finally, we provide insights into the potential use of epigenetic modulators in combating viral infections and virus-induced diseases.",Targeted Therapy Agent,Pan-cancer,Not Applicable,Not Applicable,Open Access,,,,37656959
PublicationView,CA232137,10.1016/j.isci.2023.107569,iScience,37664588,https://pubmed.ncbi.nlm.nih.gov/37664588,Genome-scale modeling predicts metabolic differences between macrophage subtypes in colorectal cancer,2023,"Human genetics, Cancer, Quantitative genetics, Health Informatics","Patrick E Gelbach, Stacey D Finley","Colorectal cancer (CRC) shows high incidence and mortality, partly due to the tumor microenvironment (TME), which is viewed as an active promoter of disease progression. Macrophages are among the most abundant cells in the TME. These immune cells are generally categorized as M1, with inflammatory and anti-cancer properties, or M2, which promote tumor proliferation and survival. Although the M1/M2 subclassification scheme is strongly influenced by metabolism, the metabolic divergence between the subtypes remains poorly understood. Therefore, we generated a suite of computational models that characterize the M1- and M2-specific metabolic states. Our models show key differences between the M1 and M2 metabolic networks and capabilities. We leverage the models to identify metabolic perturbations that cause the metabolic state of M2 macrophages to more closely resemble M1 cells. Overall, this work increases understanding of macrophage metabolism in CRC and elucidates strategies to promote the metabolic state of anti-tumor macrophages.",Computational Modeling,Colorectal Neoplasm,Not Applicable,Not Applicable,Open Access,,,,37664588
PublicationView,CA193489,10.1038/s41598-023-42368-8,Sci Rep,37700000,https://pubmed.ncbi.nlm.nih.gov/37700000,A mathematical investigation of polyaneuploid cancer cell memory and cross-resistance in state-structured cancer populations,2023,,"Anuraag Bukkuri, Kenneth J Pienta, Robert H Austin, Emma U Hammarlund, Sarah R Amend, Joel S Brown","The polyaneuploid cancer cell (PACC) state promotes cancer lethality by contributing to survival in extreme conditions and metastasis. Recent experimental evidence suggests that post-therapy PACC-derived recurrent populations display cross-resistance to classes of therapies with independent mechanisms of action. We hypothesize that this can occur through PACC memory, whereby cancer cells that have undergone a polyaneuploid transition (PAT) reenter the PACC state more quickly or have higher levels of innate resistance. In this paper, we build on our prior mathematical models of the eco-evolutionary dynamics of cells in the 2N+ and PACC states to investigate these two hypotheses. We show that although an increase in innate resistance is more effective at promoting cross-resistance, this trend can also be produced via PACC memory. We also find that resensitization of cells that acquire increased innate resistance through the PAT have a considerable impact on eco-evolutionary dynamics and extinction probabilities. This study, though theoretical in nature, can help inspire future experimentation to tease apart hypotheses surrounding how cross-resistance in structured cancer populations arises.",Mathematical Modeling,Pan-cancer,Not Applicable,Not Applicable,Open Access,,,,37700000
PublicationView,"CA209988, CA224012",10.1038/s41467-023-40841-6,Nat Commun,37704631,https://pubmed.ncbi.nlm.nih.gov/37704631,MYC Deregulation and PTEN Loss Model Tumor and Stromal Heterogeneity of Aggressive Triple-Negative Breast Cancer,2023,,"Zinab O Doha, Xiaoyan Wang, Nicholas L Calistri, Jennifer Eng, Colin J Daniel, Luke Ternes, Eun Na Kim, Carl Pelz, Michael Munks, Courtney Betts, Sunjong Kwon, Elmar Bucher, Xi Li, Trent Waugh, Zuzana Tatarova, Dylan Blumberg, Aaron Ko, Nell Kirchberger, Jennifer A Pietenpol, Melinda E Sanders, Ellen M Langer, Mu-Shui Dai, Gordon Mills, Koei Chin, Young Hwan Chang, Lisa M Coussens, Joe W Gray, Laura M Heiser, Rosalie C Sears","Triple-negative breast cancer (TNBC) patients have a poor prognosis and few treatment options. Mouse models of TNBC are important for development of new therapies, however, few mouse models represent the complexity of TNBC. Here, we develop a female TNBC murine model by mimicking two common TNBC mutations with high co-occurrence: amplification of the oncogene MYC and deletion of the tumor suppressor PTEN. This Myc;Ptenfl model develops heterogeneous triple-negative mammary tumors that display histological and molecular features commonly found in human TNBC. Our research involves deep molecular and spatial analyses on Myc;Ptenfl tumors including bulk and single-cell RNA-sequencing, and multiplex tissue-imaging. Through comparison with human TNBC, we demonstrate that this genetic mouse model develops mammary tumors with differential survival and therapeutic responses that closely resemble the inter- and intra-tumoral and microenvironmental heterogeneity of human TNBC, providing a pre-clinical tool for assessing the spectrum of patient TNBC biology and drug response.","Hematoxylin and Eosin Staining Method, RNA Sequencing, Cyclic Immunofluorescence, Single Cell RNA-Sequencing",Triple-Negative Breast Carcinoma,Breast,"GSE215071,  GSE215070,  GSE176078",Open Access,,,,37704631
PublicationView,CA193419,10.1038/s41556-023-01225-6,Nat Cell Biol,37749225,https://pubmed.ncbi.nlm.nih.gov/37749225,Iron drives anabolic metabolism through active histone demethylation and mTORC1,2023,,"Jason S Shapiro, Hsiang-Chun Chang, Yuki Tatekoshi, Zibo Zhao, Zohra Sattar Waxali, Bong Jin Hong, Haimei Chen, Justin A Geier, Elizabeth T Bartom, Adam De Jesus, Farnaz K Nejad, Amir Mahmoodzadeh, Tatsuya Sato, Lucia Ramos-Alonso, Antonia Maria Romero, Maria Teresa Martinez-Pastor, Shang-Chuan Jiang, Shiv K Sah-Teli, Liming Li, David Bentrem, Gary Lopaschuk, Issam Ben-Sahra, Thomas V O'Halloran, Ali Shilatifard, Sergi Puig, Joy Bergelson, Peppi Koivunen, Hossein Ardehali","All eukaryotic cells require a minimal iron threshold to sustain anabolic metabolism. However, the mechanisms by which cells sense iron to regulate anabolic processes are unclear. Here we report a previously undescribed eukaryotic pathway for iron sensing in which molecular iron is required to sustain active histone demethylation and maintain the expression of critical components of the pro-anabolic mTORC1 pathway. Specifically, we identify the iron-binding histone-demethylase KDM3B as an intrinsic iron sensor that regulates mTORC1 activity by demethylating H3K9me<sup>2</sup> at enhancers of a high-affinity leucine transporter, LAT3, and RPTOR. By directly suppressing leucine availability and RAPTOR levels, iron deficiency supersedes other nutrient inputs into mTORC1. This process occurs in vivo and is not an indirect effect by canonical iron-utilizing pathways. Because ancestral eukaryotes share homologues of KDMs and mTORC1 core components, this pathway probably pre-dated the emergence of the other kingdom-specific nutrient sensors for mTORC1.",Pending Annotation,Pending Annotation,Pending Annotation,Pending Annotation,Restricted Access,,,,37749225
PublicationView,"CA250481, CA220378",10.1038/s41467-023-41559-1,Nat Commun,37770427,https://pubmed.ncbi.nlm.nih.gov/37770427,Integrated molecular and multiparametric MRI mapping of high-grade glioma identifies regional biologic signatures,2023,,"Leland S Hu, Fulvio D'Angelo, Taylor M Weiskittel, Francesca P Caruso, Shannon P Fortin Ensign, Mylan R Blomquist, Matthew J Flick, Lujia Wang, Christopher P Sereduk, Kevin Meng-Lin, Gustavo De Leon, Ashley Nespodzany, Javier C Urcuyo, Ashlyn C Gonzales, Lee Curtin, Erika M Lewis, Kyle W Singleton, Timothy Dondlinger, Aliya Anil, Natenael B Semmineh, Teresa Noviello, Reyna A Patel, Panwen Wang, Junwen Wang, Jennifer M Eschbacher, Andrea Hawkins-Daarud, Pamela R Jackson, Itamar S Grunfeld, Christian Elrod, Gina L Mazza, Sam C McGee, Lisa Paulson, Kamala Clark-Swanson, Yvette Lassiter-Morris, Kris A Smith, Peter Nakaji, Bernard R Bendok, Richard S Zimmerman, Chandan Krishna, Devi P Patra, Naresh P Patel, Mark Lyons, Matthew Neal, Kliment Donev, Maciej M Mrugala, Alyx B Porter, Scott C Beeman, Todd R Jensen, Kathleen M Schmainda, Yuxiang Zhou, Leslie C Baxter, Christopher L Plaisier, Jing Li, Hu Li, Anna Lasorella, C Chad Quarles, Kristin R Swanson, Michele Ceccarelli, Antonio Iavarone, Nhan L Tran","Sampling restrictions have hindered the comprehensive study of invasive non-enhancing (NE) high-grade glioma (HGG) cell populations driving tumor progression. Here, we present an integrated multi-omic analysis of spatially matched molecular and multi-parametric magnetic resonance imaging (MRI) profiling across 313 multi-regional tumor biopsies, including 111 from the NE, across 68 HGG patients. Whole exome and RNA sequencing uncover unique genomic alterations to unresectable invasive NE tumor, including subclonal events, which inform genomic models predictive of geographic evolution. Infiltrative NE tumor is alternatively enriched with tumor cells exhibiting neuronal or glycolytic/plurimetabolic cellular states, two principal transcriptomic pathway-based glioma subtypes, which respectively demonstrate abundant private mutations or enrichment in immune cell signatures. These NE phenotypes are non-invasively identified through normalized K2 imaging signatures, which discern cell size heterogeneity on dynamic susceptibility contrast (DSC)-MRI. NE tumor populations predicted to display increased cellular proliferation by mean diffusivity (MD) MRI metrics are uniquely associated with EGFR amplification and CDKN2A homozygous deletion. The biophysical mapping of infiltrative HGG potentially enables the clinical recognition of tumor subpopulations with aggressive molecular signatures driving tumor progression, thereby informing precision medicine targeting.","Whole Exome Sequencing, Phylogenetic Analysis, Magnetic Resonance Imaging",Malignant Glioma,Brain,syn52256644,Open Access,,,,37770427
PublicationView,CA256054,10.1002/jbm.a.37621,J Biomed Mater Res A,37772330,https://pubmed.ncbi.nlm.nih.gov/37772330,TRAIL-conjugated liposomes that bind natural killer cells to induce colorectal cancer cell apoptosis,2023,"Liposomes, TRAIL, Natural killer cells, lymphatics","Joshua D Greenlee, Zhenjiang Zhang, Tejas Subramanian, Kevin Liu, Michael R King","Natural killer (NK) cell functionality is a strong indicator of favorable prognosis in cancer patients, making NK cells an appealing therapeutic target to prevent lymph node dissemination. We engineered liposomes that are conjugated with anti-CD335 antibodies for NK cell targeting, and the apoptotic ligand TRAIL to kill cancer cells. Liposomes were made using a thin film hydration method followed by extrusion to approximately 100 nm in diameter and conjugation of proteins via thiol-maleimide click chemistry. TRAIL/anti-CD335 liposomes successfully bound to isolated NK cells. Once piggybacked to the surface of NK cells, these ""Super Natural Killer Cells"" were able to more effectively kill oxaliplatin-resistant SW620 cells and metastatic COLO205 colorectal cancer cells via TRAIL-mediated apoptosis compared to NK cells alone. Importantly, Super NK cells were more effective under physiological levels of fluid shear stress found in the lymphatics. Liposome biodistribution after intravenous administration confirmed the sustained presence of liposomes within the spleen and tumor draining mesenteric lymph nodes for at least 4 days. These results demonstrate the enhanced apoptotic effects of NK cells armored with liposomal TRAIL against clinically relevant colorectal cancer cells, providing the groundwork for in vivo treatment studies in mouse models of colorectal cancer metastasis.","Cell Culture, Scanning Electron Microscopy",Colorectal Neoplasm,"Intestine, Colon",Not Applicable,Open Access,,,,37772330
PublicationView,"CA264620, CA209978",10.7554/elife.85898,Elife,37772709,https://pubmed.ncbi.nlm.nih.gov/37772709,ONC201/TIC10 enhances durability of mTOR inhibitor everolimus in metastatic ER+ breast cancer,2023,"Human, Mitochondria, Drug resistance, Breast cancer, Stress response, Everolimus, Cancer Biology, Onc201/Tic10","Elena Farmaki, Aritro Nath, Rena Emond, Kimya L Karimi, Vince K Grolmusz, Patrick A Cosgrove, Andrea H Bild","The mTOR inhibitor, everolimus, is an important clinical management component of metastatic ER+ breast cancer (BC). However, most patients develop resistance and progress on therapy, highlighting the need to discover strategies that increase mTOR inhibitor effectiveness. We developed ER+ BC cell lines, sensitive or resistant to everolimus, and discovered that combination treatment of ONC201/TIC10 with everolimus inhibited cell growth in 2D/3D in vitro studies. We confirmed increased therapeutic response in primary patient cells progressing on everolimus, supporting clinical relevance. We show that ONC201/TIC10 mechanism in metastatic ER+ BC cells involves oxidative phosphorylation inhibition and stress response activation. Transcriptomic analysis in everolimus resistant breast patient tumors and mitochondrial functional assays in resistant cell lines demonstrated increased mitochondrial respiration dependency, contributing to ONC201/TIC10 sensitivity. We propose that ONC201/TIC10 and modulation of mitochondrial function may provide an effective add-on therapy strategy for patients with metastatic ER+ BCs resistant to mTOR inhibitors.","Cell Culture, Western Blotting, RNA Sequencing","Breast Adenocarcinoma, Breast Carcinoma, Invasive Ductal Breast Carcinoma",Breast,"GSE119262,  GSE212369",Open Access,,,,37772709
PublicationView,CA217514,10.1158/2767-9764.crc-23-0109,Cancer Res Commun,37772998,https://pubmed.ncbi.nlm.nih.gov/37772998,Effects and Eradication of Mycoplasma Contamination on Patient-derived Colorectal Cancer Organoid Cultures,2023,,"Divya L Dayanidhi, Wylie K Watlington, John B Mantyh, Gabrielle Rupprecht, David S Hsu","Significance: Organoids are valuable models of cancer. Mycoplasma contamination can alter organoid drug sensitivity, so there is a need for a standardized protocol to detect and remove Mycoplasma from organoids. We report a simple procedure for removing Mycoplasma from organoids via in vivo passaging through mice followed by re-establishment of organoids.","Organoid, Modeling",Colorectal Neoplasm,Colon,Not Applicable,Open Access,,,,37772998
PublicationView,CA225566,10.1016/j.bpj.2023.01.005,Biophys J,36617192,https://pubmed.ncbi.nlm.nih.gov/36617192,Rho activation drives luminal collapse and eversion in epithelial acini,2023,,"Vani Narayanan, Purboja Purkayastha, Bo Yu, Kavya Pendyala, Sasanka Chukkapalli, Jolene I Cabe, Richard B Dickinson, Daniel E Conway, Tanmay P Lele","Epithelial cells lining a gland and cells grown in a soft extracellular matrix polarize with apical proteins exposed to the lumen and basal proteins in contact with the extracellular matrix. Alterations to polarity, including an apical-out polarity, occur in human cancers. Although some aberrant polarity states may result from altered protein trafficking, recent observations of an extraordinary tissue-level inside-out unfolding suggest an alternative pathway for altered polarity. Because mechanical alterations are common in human cancer, including an upregulation of RhoA-mediated actomyosin tension in acinar epithelia, we explored whether perturbing mechanical homeostasis could cause apical-out eversion. Acinar eversion was robustly induced by direct activation of RhoA in normal and tumor epithelial acini, or indirect activation of RhoA through blockage of β1-integrins, disruption of the LINC complex, oncogenic Ras activation, or Rac1 inhibition. Furthermore, laser ablation of a portion of the untreated acinus was sufficient to induce eversion. Analyses of acini revealed high curvature and low phosphorylated myosin in the apical cell surfaces relative to the basal surfaces. A vertex-based mathematical model that balances tension at cell-cell interfaces revealed a fivefold greater basal cell surface tension relative to the apical cell surface tension. The model suggests that the difference in surface energy between the apical and basal surfaces is the driving force for acinar eversion. Our findings raise the possibility that a loss of mechanical homeostasis may cause apical-out polarity states in human cancers.",Pending Annotation,Pending Annotation,Pending Annotation,,Restricted Access,,,,36617192
